area,featured_name,item_id,latitude,longitude,others,price,price_per_m,rooms,subtitle,title,tracking_id,url,Lat,Lon
40 m²,listing_no_promo,49LWk,,,Obsługa zdalna DEREZIŃSCY NIERUCHOMOŚCI,289000,7225,2 pokoje,Mieszkanie na sprzedaż:,dwie oddzielne kawalerki *wejście z klatki schod.,61434518,https://www.otodom.pl/pl/oferta/dwie-oddzielne-kawalerki-wejscie-z-klatki-schod-ID49LWk.html#6a25d29cc2,52.397443,16.905012
"51,49 m²",listing_no_promo,49L1w,,,Ślemp Nieruchomości Radosław Ślemp,399000,7749,3 pokoje,Mieszkanie na sprzedaż:,Klimatyczne trzy pokoje sąsiedztwo Areny,61431057,https://www.otodom.pl/pl/oferta/klimatyczne-trzy-pokoje-sasiedztwo-areny-ID49L1w.html#6a25d29cc2,52.392617,16.89361977
148 m²,listing_no_promo,47XeP,,,Zarządzanie i Obrót Nieruchomościami Grażyna Czachor,1258000,8500,4 pokoje,Mieszkanie na sprzedaż:,Piękne mieszkanie w kamienicy na sprzedaż,61001355,https://www.otodom.pl/pl/oferta/piekne-mieszkanie-w-kamienicy-na-sprzedaz-ID47XeP.html#6a25d29cc2,52.4030718,16.9034508
"67,77 m²",listing_no_promo,48kSa,,,Ślemp Nieruchomości Radosław Ślemp,582822,8600,2 pokoje,Mieszkanie na sprzedaż:,Klimatyczny loft w gustownej kamienicy,61092206,https://www.otodom.pl/pl/oferta/klimatyczny-loft-w-gustownej-kamienicy-ID48kSa.html#6a25d29cc2,52.3984733,16.9000111
"57,11 m²",listing_no_promo,49u5C,,,Ślemp Nieruchomości Radosław Ślemp,475000,8317,3 pokoje,Mieszkanie na sprzedaż:,Eleganckie trzy pokoje w pobliżu Parku Wilsona,61365964,https://www.otodom.pl/pl/oferta/eleganckie-trzy-pokoje-w-poblizu-parku-wilsona-ID49u5C.html#6a25d29cc2,52.39654036,16.90009475
"69,68 m²",listing_no_promo,49Hnt,,,Investor Nieruchomości Franchise,529000,7592,3 pokoje,Mieszkanie na sprzedaż:,3 pokojowe w centrum Poznania,61417043,https://www.otodom.pl/pl/oferta/3-pokojowe-w-centrum-poznania-ID49Hnt.html#6a25d29cc2,52.39409,16.8938
"51,10 m²",listing_no_promo,49F5h,,,Witgum Nieruchomości Justyna Radzimska-Grzybek,337000,6595,2 pokoje,Mieszkanie na sprzedaż:,REZERWACJA Ładne dwa pokoje Łazarz,61408227,https://www.otodom.pl/pl/oferta/rezerwacja-ladne-dwa-pokoje-lazarz-ID49F5h.html#6a25d29cc2,52.3963121,16.9045989
31 m²,listing_no_promo,49EHL,,,Biuro Obrotu Nieruchomościami 5 Aleja Anna Popielska,206000,6645,2 pokoje,Mieszkanie na sprzedaż:,ul. Łukaszewicza Łazarz 2 pok niski,61406769,https://www.otodom.pl/pl/oferta/ul-lukaszewicza-lazarz-2-pok-niski-ID49EHL.html#6a25d29cc2,52.3925258,16.9029755
38 m²,listing_no_promo,49DyT,,,KWPoland,269000,7079,1 pokój,Mieszkanie na sprzedaż:,Kawalerka | Okazja | park Wilsona | Brak prowizji,61402375,https://www.otodom.pl/pl/oferta/kawalerka-okazja-park-wilsona-brak-prowizji-ID49DyT.html#6a25d29cc2,52.39631,16.9046
126 m²,listing_no_promo,49DpH,,,Corner Nieruchomości,629000,4992,3 pokoje,Mieszkanie na sprzedaż:,Poznań - Grunwald,61401805,https://www.otodom.pl/pl/oferta/poznan-grunwald-ID49DpH.html#6a25d29cc2,52.3984733,16.9000111
48 m²,listing_no_promo,49CPT,,,"Robert Trawkowski Biuro Obrotu Nieruchomościami "" Gwarant Nieruchomości """,299000,6229,2 pokoje,Mieszkanie na sprzedaż:,Sprzedam w niskim bloku 2 pok.mieszkanie .,61399585,https://www.otodom.pl/pl/oferta/sprzedam-w-niskim-bloku-2-pok-mieszkanie-ID49CPT.html#6a25d29cc2,52.3856543,16.8952415
