area,featured_name,item_id,latitude,longitude,others,price,price_per_m,rooms,subtitle,title,tracking_id,url,Lat,Lon
"66,96 m²",listing_no_promo,44UB9,,,Artus Nieruchomości Artur Linka,57853440.0,8640.0,3 pokoje,Mieszkanie na sprzedaż:,"Poznań, Jeżyce, ul. Startowa - NOWA STARTOWA",60276223,https://www.otodom.pl/oferta/poznan-jezyce-ul-startowa-nowa-startowa-ID44UB9.html#068ba5fd61,52.42678654487068,16.85451723649294
"96,16 m²",listing_no_promo,43UTv,,,Immo House,692352.0,7200.0,4 pokoje,Mieszkanie na sprzedaż:,Przestronne mieszkanie 4 Pokoje Centrum 96m2,60039034,https://www.otodom.pl/oferta/przestronne-mieszkanie-4-pokoje-centrum-96m2-ID43UTv.html#068ba5fd61,52.43037,16.9077
"45,48 m²",listing_no_promo,44ymx,,,Immo House,330040.0,7257.0,3 pokoje,Mieszkanie na sprzedaż:,"​3 Pokoje Nad Jeziorem! Atrakcyjna Cena, Got. 2020",60190749,https://www.otodom.pl/oferta/3-pokoje-nad-jeziorem-atrakcyjna-cena-got-2020-ID44ymx.html#068ba5fd61,52.43841,16.80572
74 m²,listing_no_promo,44NKn,,,Pietras Nieruchomości,495000.0,6689.0,4 pokoje,Mieszkanie na sprzedaż:,Duże m. Jeżyce (inwestycja kawalerka+3 pok),60249887,https://www.otodom.pl/oferta/duze-m-jezyce-inwestycja-kawalerka-3-pok-ID44NKn.html#068ba5fd61,52.4097086,16.9062342
80 m²,listing_no_promo,43Zan,,,Re Search Nieruchomości i Inwestycje Sp. z o. o.,549000.0,6863.0,3 pokoje,Mieszkanie na sprzedaż:,loft w zrewitalizowanej kamienicy na Jeżycach,60055455,https://www.otodom.pl/oferta/loft-w-zrewitalizowanej-kamienicy-na-jezycach-ID43Zan.html#068ba5fd61,52.4101717,16.8981203
"74,10 m²",listing_no_promo,44KtD,,,Biuro Obrotu Nieruchomościami 5 Aleja Anna Popielska,629000.0,8489.0,3 pokoje,Mieszkanie na sprzedaż:,3 pokoje z ogrodem ul. Koszalińska!!!,60237317,https://www.otodom.pl/oferta/3-pokoje-z-ogrodem-ul-koszalinska-ID44KtD.html#068ba5fd61,52.4553885,16.8417669
56 m²,listing_no_promo,44Kb4,,,Imperial House,399000.0,7125.0,3 pokoje,Mieszkanie na sprzedaż:,Poznań Podolany w super lokalizacji,60236166,https://www.otodom.pl/oferta/poznan-podolany-w-super-lokalizacji-ID44Kb4.html#068ba5fd61,52.4546224,16.8940131
"81,34 m²",listing_no_promo,44Jbk,,,PURE PROPERTIES,397000.0,4881.0,3 pokoje,Mieszkanie na sprzedaż:,Atrakcyjne mieszkanie na modnych Jeżycach,60232338,https://www.otodom.pl/oferta/atrakcyjne-mieszkanie-na-modnych-jezycach-ID44Jbk.html#068ba5fd61,52.4133,16.8991
32 m²,listing_no_promo,44IVe,,,HousExpert Agencja Nieruchomości sp. z o.o.,279000.0,8719.0,1 pokój,Mieszkanie na sprzedaż:,"2 osobne kawalerki, idealne na inwestycje.",60231402,https://www.otodom.pl/oferta/2-osobne-kawalerki-idealne-na-inwestycje-ID44IVe.html#068ba5fd61,52.406374,16.92516
"37,30 m²",listing_no_promo,44IPz,,,NEXT NIERUCHOMOŚCI,375000.0,10054.0,2 pokoje,Mieszkanie na sprzedaż:,2 pokoje-Gotowe do zamieszkania! Nowy Blok! Ogrody,60230989,https://www.otodom.pl/oferta/2-pokoje-gotowe-do-zamieszkania-nowy-blok-ogrody-ID44IPz.html#068ba5fd61,52.419049,16.86518
94 m²,listing_no_promo,44Ge9,,,Biuro Nieruchomości CASTLE,1347000.0,14330.0,4 pokoje,Mieszkanie na sprzedaż:,"Piękny apartament, centrum JEŻYC ''Nowa Zajezdnia""",60220981,https://www.otodom.pl/oferta/piekny-apartament-centrum-jezyc-nowa-zajezdnia-ID44Ge9.html#068ba5fd61,52.4085739,16.9071966
"54,44 m²",listing_no_promo,44FfP,,,Immo House,413744.0,7600.0,2 pokoje,Mieszkanie na sprzedaż:,Przestronne mieszkania z osobną kuchnią 54 m2,60217241,https://www.otodom.pl/oferta/przestronne-mieszkania-z-osobna-kuchnia-54-m2-ID44FfP.html#068ba5fd61,52.42441,16.92598
79 m²,listing_no_promo,44Dvf,,,WITKOWSKI&RAJTER,509000.0,6443.0,2 pokoje,Mieszkanie na sprzedaż:,"Duże 2 pokoje + balkon. Rynek Jeżycki,Park Sołacki",60210571,https://www.otodom.pl/oferta/duze-2-pokoje-balkon-rynek-jezycki-park-solacki-ID44Dvf.html#068ba5fd61,52.41492,16.90579
67 m²,listing_no_promo,44Az9,,,Nieruchomosci Laskowski,390000.0,5821.0,3 pokoje,Mieszkanie na sprzedaż:,3 pok. 67 m2 ul.Dabrowskiego 390 tys zł,60199219,https://www.otodom.pl/oferta/3-pok-67-m2-ul-dabrowskiego-390-tys-zl-ID44Az9.html#068ba5fd61,52.4262224,16.8593741
42 m²,listing_no_promo,44An4,,,Home Emperor sp. z o.o.,346000.0,8238.0,2 pokoje,Mieszkanie na sprzedaż:,"Mieszkanie, 42 m², Poznań",60198470,https://www.otodom.pl/oferta/mieszkanie-42-m-poznan-ID44An4.html#068ba5fd61,52.43315,16.90875
"53,90 m²",listing_no_promo,44zzN,,,Perfect House,599000.0,11113.0,2 pokoje,Mieszkanie na sprzedaż:,super apartament 2 pokoje Centrum-Jeżyce,60195415,https://www.otodom.pl/oferta/super-apartament-2-pokoje-centrum-jezyce-ID44zzN.html#068ba5fd61,52.409435,16.90262
68 m²,listing_no_promo,44xOf,,,Investor Nieruchomości Franchise,475000.0,6985.0,3 pokoje,Mieszkanie na sprzedaż:,Winiary/ 68m2/ 3/pok/ wolne od zaraz,60188623,https://www.otodom.pl/oferta/winiary-68m2-3-pok-wolne-od-zaraz-ID44xOf.html#068ba5fd61,52.43315,16.90875
"50,30 m²",listing_no_promo,44vjz,,,Nowy Dom Nieruchomości,377250.0,7500.0,2 pokoje,Mieszkanie na sprzedaż:,2pok.mieszkanie układ niezależny SOŁACZ ul.Sokoła,60182877,https://www.otodom.pl/oferta/2pok-mieszkanie-uklad-niezalezny-solacz-ul-sokola-ID44vjz.html#068ba5fd61,52.42425,16.90384
"53,95 m²",listing_no_promo,44uKM,,,Express House,40807780.0,7564.0,2 pokoje,Mieszkanie na sprzedaż:,* Park Sołacki * bez prowizji * 0% Pcc *,60176876,https://www.otodom.pl/oferta/park-solacki-bez-prowizji-0-pcc-ID44uKM.html#068ba5fd61,52.4188529,16.8976818
"25,72 m²",listing_no_promo,44qx2,,,LOGRO Sp. z o.o.,192977.0,7503.0,1 pokój,Mieszkanie na sprzedaż:,Słupska Lake45City,60160648,https://www.otodom.pl/oferta/slupska-lake45city-ID44qx2.html#068ba5fd61,52.43748,16.83279
"41,57 m²",listing_no_promo,44qoj,,,PTAK nieruchomości,507154.0,12200.0,2 pokoje,Mieszkanie na sprzedaż:,Nowe deweloperskie mieszkanie w sercu Jeżyc,60160107,https://www.otodom.pl/oferta/nowe-deweloperskie-mieszkanie-w-sercu-jezyc-ID44qoj.html#068ba5fd61,52.4136838,16.9127656
"110,82 m²",listing_no_promo,44qkQ,,,PTAK nieruchomości,1241184.0,11200.0,3 pokoje,Mieszkanie na sprzedaż:,Nowe deweloperskie mieszkanie w sercu Jeżyc,60159892,https://www.otodom.pl/oferta/nowe-deweloperskie-mieszkanie-w-sercu-jezyc-ID44qkQ.html#068ba5fd61,52.4136838,16.9127656
"86,12 m²",listing_no_promo,44qkR,,,PTAK nieruchomości,1007604.0,11700.0,2 pokoje,Mieszkanie na sprzedaż:,Nowe deweloperskie mieszkanie w sercu Jeżyc,60159893,https://www.otodom.pl/oferta/nowe-deweloperskie-mieszkanie-w-sercu-jezyc-ID44qkR.html#068ba5fd61,52.4136838,16.9127656
"57,47 m²",listing_no_promo,44qi8,,,PTAK nieruchomości,586194.0,10200.0,2 pokoje,Mieszkanie na sprzedaż:,Nowe deweloperskie mieszkanie w sercu Jeżyc,60159724,https://www.otodom.pl/oferta/nowe-deweloperskie-mieszkanie-w-sercu-jezyc-ID44qi8.html#068ba5fd61,52.4136838,16.9127656
"48,50 m²",listing_no_promo,44in6,,,Smart Nieruchomości,600000.0,12371.0,2 pokoje,Mieszkanie na sprzedaż:,"Zwierzyniecka, Zajezdnia, Umeblowane, 2018",60129280,https://www.otodom.pl/oferta/zwierzyniecka-zajezdnia-umeblowane-2018-ID44in6.html#068ba5fd61,52.4085739,16.9071966
"40,54 m²",listing_no_promo,44bpb,,,Partner Nieruchomości Agnieszka Kuzera,333584.0,8229.0,2 pokoje,Mieszkanie na sprzedaż:,2 Pokoje Na Jeżycach Z Balkonem,60102501,https://www.otodom.pl/oferta/2-pokoje-na-jezycach-z-balkonem-ID44bpb.html#068ba5fd61,52.43655,16.84479
"49,84 m²",listing_no_promo,44a7W,,,Perfect House,448560.0,9000.0,3 pokoje,Mieszkanie na sprzedaż:,"Nowa inwestycja Winiary, ul. Rejtana 4",60097587,https://www.otodom.pl/oferta/nowa-inwestycja-winiary-ul-rejtana-4-ID44a7W.html#068ba5fd61,52.432304,16.9126
"44,36 m²",listing_no_promo,44a7V,,,Perfect House,399240.0,9000.0,2 pokoje,Mieszkanie na sprzedaż:,"Nowa inwestycja Winiary, ul. Rejtana 4",60097588,https://www.otodom.pl/oferta/nowa-inwestycja-winiary-ul-rejtana-4-ID44a7V.html#068ba5fd61,52.432304,16.9126
79 m²,listing_no_promo,446Qk,,,Aspect Nieruchomości - Ogólnopolska Sieć Biur,519000.0,6570.0,2 pokoje,Mieszkanie na sprzedaż:,"Mieszkanie, 79 m², Poznań",60084964,https://www.otodom.pl/oferta/mieszkanie-79-m-poznan-ID446Qk.html#068ba5fd61,52.43655,16.84479
"53,95 m²",listing_no_promo,444PL,,,Immo House,432100.0,8009.0,2 pokoje,Mieszkanie na sprzedaż:,Poznań 53m2 Nowe,60077241,https://www.otodom.pl/oferta/poznan-53m2-nowe-ID444PL.html#068ba5fd61,52.41226,16.89594
"95,91 m²",listing_no_promo,443gg,,,Perfect House,1100000.0,11469.0,4 pokoje,Mieszkanie na sprzedaż:,Apartament z tarasem na dachu,60071196,https://www.otodom.pl/oferta/apartament-z-tarasem-na-dachu-ID443gg.html#068ba5fd61,52.43315,16.90875
"30,17 m²",listing_no_promo,40HCO,,,Spechouse Sp. z o.o.,280581.0,9300.0,1 pokój,Mieszkanie na sprzedaż:,Kawalerka Na Jeżycach,59273042,https://www.otodom.pl/oferta/kawalerka-na-jezycach-ID40HCO.html#068ba5fd61,52.4323043,16.9126032
"50,30 m²",listing_no_promo,43W03,,,Perfect House,465000.0,9245.0,5 pokoi,Mieszkanie na sprzedaż:,Dwupoziomowe 5 pokojowe na Jeżycach z klimatyzacją,60039439,https://www.otodom.pl/oferta/dwupoziomowe-5-pokojowe-na-jezycach-z-klimatyzacja-ID43W03.html#068ba5fd61,52.43655,16.84479
"68,25 m²",listing_no_promo,42H9V,,,Nieruchomości KWADRAT,449000.0,6579.0,3 pokoje,Mieszkanie na sprzedaż:,"Podolany, mieszkanie 3-pok, zamknięte osiedle!",59747908,https://www.otodom.pl/oferta/podolany-mieszkanie-3-pok-zamkniete-osiedle-ID42H9V.html#068ba5fd61,52.457157149456,16.89371733396
"41,63 m²",listing_no_promo,43KPM,,,Mromont sp. z o.o. sp. k.,349000.0,8383.0,3 pokoje,Mieszkanie na sprzedaż:,"Piątkowska 133, Mierzkanie 3.3, Poznań, nowe",60000362,https://www.otodom.pl/oferta/piatkowska-133-mierzkanie-3-3-poznan-nowe-ID43KPM.html#068ba5fd61,52.43291451515424,16.91359943389893
"49,72 m²",listing_no_promo,43KN2,,,Mromont sp. z o.o. sp. k.,439000.0,8829.0,3 pokoje,Mieszkanie na sprzedaż:,"Piątkowska 133, Mieszkanie 2.1, Poznań, nowe",60000192,https://www.otodom.pl/oferta/piatkowska-133-mieszkanie-2-1-poznan-nowe-ID43KN2.html#068ba5fd61,52.43291451515424,16.91359943389893
"105,11 m²",listing_no_promo,43JcI,,,21 Art-Bud Sp. z o.o. Sp. k.,925468.0,8805.0,4 pokoje,Mieszkanie na sprzedaż:,Poznań Drzymały lokal 1/3,59994096,https://www.otodom.pl/oferta/poznan-drzymaly-lokal-1-3-ID43JcI.html#068ba5fd61,52.4221816,16.9134286
"99,98 m²",listing_no_promo,43Jcp,,,21 Art-Bud Sp. z o.o. Sp. k.,880324.0,8805.0,4 pokoje,Mieszkanie na sprzedaż:,Poznań Drzymały lokal 2/3,59994077,https://www.otodom.pl/oferta/poznan-drzymaly-lokal-2-3-ID43Jcp.html#068ba5fd61,52.4221816,16.9134286
