area,featured_name,item_id,latitude,longitude,others,price,price_per_m,rooms,subtitle,title,tracking_id,url,Lat,Lon
"56,70 m²",promo_top_ads,46alB,,,Oferta prywatna,345000.0,6085.0,2 pokoje,Mieszkanie na sprzedaż:,Sprzedaż mieszkania,60575091,https://www.otodom.pl/oferta/sprzedaz-mieszkania-ID46alB.html#46f53463a1,52.4533754,16.8512665
"52,14 m²",promo_top_ads,46vIa,,,Oferta prywatna,405000.0,7768.0,3 pokoje,Mieszkanie na sprzedaż:,"Strzeszyn Grecki, Poznań ul. Witolda Pileckiego",60661058,https://www.otodom.pl/oferta/strzeszyn-grecki-poznan-ul-witolda-pileckiego-ID46vIa.html#46f53463a1,52.40827,16.93352
47 m²,promo_top_ads,44Axn,,,Oferta prywatna,375900.0,7998.0,2 pokoje,Mieszkanie na sprzedaż:,"BEZPOŚREDNIO - 2 Pokoje, Sołacz, z wyposażeniem",60199109,https://www.otodom.pl/oferta/bezposrednio-2-pokoje-solacz-z-wyposazeniem-ID44Axn.html#46f53463a1,52.42419938348857,16.909935492553725
"67,60 m²",listing_no_promo,45mjk,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,561080.0,8300.0,3 pokoje,Mieszkanie na sprzedaż:,Mieszkanie B110,60382750,https://www.otodom.pl/oferta/mieszkanie-b110-ID45mjk.html#46f53463a1,52.41825586129262,16.902093614138778
"92,86 m²",listing_no_promo,45mjg,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,,,4 pokoje,Mieszkanie na sprzedaż:,Rezerwacja Mieszkanie B109,60382746,https://www.otodom.pl/oferta/rezerwacja-mieszkanie-b109-ID45mjg.html#46f53463a1,52.41825586129262,16.902093614138778
"43,76 m²",listing_no_promo,45mjf,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,,,2 pokoje,Mieszkanie na sprzedaż:,Rezerwacja Mieszkanie B108,60382745,https://www.otodom.pl/oferta/rezerwacja-mieszkanie-b108-ID45mjf.html#46f53463a1,52.41825586129262,16.902093614138778
"45,04 m²",listing_no_promo,45miZ,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,,,2 pokoje,Mieszkanie na sprzedaż:,Rezerwacja Mieszkanie B107,60382729,https://www.otodom.pl/oferta/rezerwacja-mieszkanie-b107-ID45miZ.html#46f53463a1,52.41825586129262,16.902093614138778
"43,76 m²",listing_no_promo,45miT,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,376336.0,8600.0,2 pokoje,Mieszkanie na sprzedaż:,Mieszkanie B106,60382723,https://www.otodom.pl/oferta/mieszkanie-b106-ID45miT.html#46f53463a1,52.41825586129262,16.902093614138778
"67,49 m²",listing_no_promo,45miS,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,553418.0,8200.0,3 pokoje,Mieszkanie na sprzedaż:,Mieszkanie B105,60382722,https://www.otodom.pl/oferta/mieszkanie-b105-ID45miS.html#46f53463a1,52.41825586129262,16.902093614138778
"31,21 m²",listing_no_promo,45miF,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,284011.0,9100.0,1 pokój,Mieszkanie na sprzedaż:,Mieszkanie B104,60382709,https://www.otodom.pl/oferta/mieszkanie-b104-ID45miF.html#46f53463a1,52.41825586129262,16.902093614138778
"31,63 m²",listing_no_promo,45miq,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,28625150.0,9050.0,1 pokój,Mieszkanie na sprzedaż:,Mieszkanie B103,60382694,https://www.otodom.pl/oferta/mieszkanie-b103-ID45miq.html#46f53463a1,52.41825586129262,16.902093614138778
"67,94 m²",listing_no_promo,45m7Y,,,AREA DEVELOPMENT,645430.0,9500.0,4 pokoje,Mieszkanie na sprzedaż:,"NOWOŚĆ Nowy Strzeszyn etap 2! 4pok, 68 m2 + 2 MP!",60382046,https://www.otodom.pl/oferta/nowosc-nowy-strzeszyn-etap-2-4pok-68-m2-2-mp-ID45m7Y.html#46f53463a1,52.45551091812865,16.86496559311523
"64,20 m²",listing_no_promo,45m7T,,,AREA DEVELOPMENT,581010.0,9050.0,3 pokoje,Mieszkanie na sprzedaż:,"NOWOŚĆ Nowy Strzeszyn etap 2! 3pok, 64 mkw + 2MP!",60382041,https://www.otodom.pl/oferta/nowosc-nowy-strzeszyn-etap-2-3pok-64-mkw-2mp-ID45m7T.html#46f53463a1,52.45551091812865,16.86496559311523
"58,06 m²",listing_no_promo,45m7L,,,AREA DEVELOPMENT,548667.0,9450.0,3 pokoje,Mieszkanie na sprzedaż:,"NOWOŚĆ Nowy Strzeszyn etap 2! 3pok, 58 mkw + 2 MP!",60382033,https://www.otodom.pl/oferta/nowosc-nowy-strzeszyn-etap-2-3pok-58-mkw-2-mp-ID45m7L.html#46f53463a1,52.45551091812865,16.86496559311523
42 m²,listing_no_promo,45lWX,,,Quadro Development,333900.0,7950.0,2 pokoje,Mieszkanie na sprzedaż:,PREMIERA INWESTYCJI ul. Piątkowska103 2 pokoje,60381301,https://www.otodom.pl/oferta/premiera-inwestycji-ul-piatkowska103-2-pokoje-ID45lWX.html#46f53463a1,52.42978740659805,16.91514289154053
42 m²,listing_no_promo,45lWW,,,Quadro Development,325500.0,7750.0,2 pokoje,Mieszkanie na sprzedaż:,PREMIERA INWESTYCJI ul. Piątkowska103 2 pokoje,60381299,https://www.otodom.pl/oferta/premiera-inwestycji-ul-piatkowska103-2-pokoje-ID45lWW.html#46f53463a1,52.42978740659805,16.91514289154053
"67,60 m²",listing_no_promo,45lkf,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,544180.0,8050.0,3 pokoje,Mieszkanie na sprzedaż:,Mieszkanie B102,60378963,https://www.otodom.pl/oferta/mieszkanie-b102-ID45lkf.html#46f53463a1,52.41825586129262,16.902093614138778
"45,04 m²",listing_no_promo,45lk3,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,373832.0,8300.0,2 pokoje,Mieszkanie na sprzedaż:,Mieszkanie B99,60378951,https://www.otodom.pl/oferta/mieszkanie-b99-ID45lk3.html#46f53463a1,52.41825586129262,16.902093614138778
"43,76 m²",listing_no_promo,45ljE,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,367584.0,8400.0,2 pokoje,Mieszkanie na sprzedaż:,Mieszkanie B98,60378926,https://www.otodom.pl/oferta/mieszkanie-b98-ID45ljE.html#46f53463a1,52.41825586129262,16.902093614138778
"67,49 m²",listing_no_promo,45ljy,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,53654550.0,7950.0,3 pokoje,Mieszkanie na sprzedaż:,Mieszkanie B97,60378920,https://www.otodom.pl/oferta/mieszkanie-b97-ID45ljy.html#46f53463a1,52.41825586129262,16.902093614138778
"31,21 m²",listing_no_promo,45ljt,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,277769.0,8900.0,1 pokój,Mieszkanie na sprzedaż:,Mieszkanie B96,60378915,https://www.otodom.pl/oferta/mieszkanie-b96-ID45ljt.html#46f53463a1,52.41825586129262,16.902093614138778
"31,63 m²",listing_no_promo,45lj6,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,27992550.0,8850.0,1 pokój,Mieszkanie na sprzedaż:,Mieszkanie B95,60378892,https://www.otodom.pl/oferta/mieszkanie-b95-ID45lj6.html#46f53463a1,52.41825586129262,16.902093614138778
"67,54 m²",listing_no_promo,45lj4,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,526812.0,7800.0,3 pokoje,Mieszkanie na sprzedaż:,Mieszkanie B94,60378890,https://www.otodom.pl/oferta/mieszkanie-b94-ID45lj4.html#46f53463a1,52.41825586129262,16.902093614138778
"40,33 m²",listing_no_promo,45lj1,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,,,2 pokoje,Mieszkanie na sprzedaż:,Rezerwacja Mieszkanie 93,60378887,https://www.otodom.pl/oferta/rezerwacja-mieszkanie-93-ID45lj1.html#46f53463a1,52.41825586129262,16.902093614138778
"55,86 m²",listing_no_promo,45liZ,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,480396.0,8600.0,2 pokoje,Mieszkanie na sprzedaż:,Mieszkanie B92,60378885,https://www.otodom.pl/oferta/mieszkanie-b92-ID45liZ.html#46f53463a1,52.41825586129262,16.902093614138778
"43,76 m²",listing_no_promo,45liU,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,,,2 pokoje,Mieszkanie na sprzedaż:,Rezerwacja Mieszkanie B91,60378880,https://www.otodom.pl/oferta/rezerwacja-mieszkanie-b91-ID45liU.html#46f53463a1,52.41825586129262,16.902093614138778
