area,featured_name,item_id,latitude,longitude,others,price,price_per_m,rooms,subtitle,title,tracking_id,url
"32,70 m²",promo_top_ads,4afEU,,,Obsługa zdalna Oferta prywatna,380000,11621,2 pokoje,Mieszkanie na sprzedaż:,"Jeżyce, odnowiona kamienica, nowe 2-pokojowe",61548820,https://www.otodom.pl/pl/oferta/jezyce-odnowiona-kamienica-nowe-2-pokojowe-ID4afEU.html#1c3fa504f7
66 m²,promo_top_ads,4aols,,,Biuro Nieruchomości CASTLE,495000,7500,3 pokoje,Mieszkanie na sprzedaż:,"Ogrody- 3 pokoje, odrębna kuchnia, niski blok!",61582210,https://www.otodom.pl/pl/oferta/ogrody-3-pokoje-odrebna-kuchnia-niski-blok-ID4aols.html#1c3fa504f7
"81,34 m²",promo_top_ads,44Jbk,,,PURE PROPERTIES,397000,4881,3 pokoje,Mieszkanie na sprzedaż:,Atrakcyjne mieszkanie na modnych Jeżycach,60232338,https://www.otodom.pl/pl/oferta/atrakcyjne-mieszkanie-na-modnych-jezycach-ID44Jbk.html#1c3fa504f7
"63,56 m²",listing_no_promo,4a6HX,,,Choiński Kroll Nieruchomości,375000,5900,4 pokoje,Mieszkanie na sprzedaż:,4 Pokoje Na Szarych Szeregów,61514413,https://www.otodom.pl/pl/oferta/4-pokoje-na-szarych-szeregow-ID4a6HX.html#1c3fa504f7
31 m²,listing_no_promo,49YpI,,,Oferta prywatna,299000,9645,2 pokoje,Mieszkanie na sprzedaż:,2 pokoje I Podolany I 31 m2 I pod klucz I balkon,61482530,https://www.otodom.pl/pl/oferta/2-pokoje-i-podolany-i-31-m2-i-pod-klucz-i-balkon-ID49YpI.html#1c3fa504f7
"38,49 m²",listing_no_promo,471JP,,,Proxin Investment,33832710,8790,2 pokoje,Mieszkanie na sprzedaż:,"Twoje nowe mieszkanie Nowe Ogrody, M1B/17",60780325,https://www.otodom.pl/pl/oferta/twoje-nowe-mieszkanie-nowe-ogrody-m1b-17-ID471JP.html#1c3fa504f7
"47,25 m²",listing_no_promo,471Pa,,,Proxin Investment,35862750,7590,2 pokoje,Mieszkanie na sprzedaż:,"Wygodne mieszkanie Nowe Ogrody, M1./2",60780656,https://www.otodom.pl/pl/oferta/wygodne-mieszkanie-nowe-ogrody-m1-2-ID471Pa.html#1c3fa504f7
65 m²,listing_no_promo,4a47N,,,Expander Advisors,49870080,7672,3 pokoje,Mieszkanie na sprzedaż:,"Jeżyce mieszkanie trzypokojowe + balkon 10,4 m2",61504483,https://www.otodom.pl/pl/oferta/jezyce-mieszkanie-trzypokojowe-balkon-10-4-m2-ID4a47N.html#1c3fa504f7
"71,26 m²",listing_no_promo,4a47O,,,Expander Advisors,53880256,7561,3 pokoje,Mieszkanie na sprzedaż:,Jeżyce mieszkanie gotowe już w czerwcu 2021 Okazja,61504484,https://www.otodom.pl/pl/oferta/jezyce-mieszkanie-gotowe-juz-w-czerwcu-2021-okazja-ID4a47O.html#1c3fa504f7
"47,80 m²",listing_no_promo,4adjs,,,Browwar Nieruchomości,340000,7113,3 pokoje,Mieszkanie na sprzedaż:,Rozkładowe mieszkanie - Jeżyce,61539802,https://www.otodom.pl/pl/oferta/rozkladowe-mieszkanie-jezyce-ID4adjs.html#1c3fa504f7
