area,featured_name,item_id,latitude,longitude,others,price,price_per_m,rooms,subtitle,title,tracking_id,url
"41,11 m²",promo_top_ads,49QdL,,,Oferta prywatna,357989,8708,2 pokoje,Mieszkanie na sprzedaż:,Mieszkanie z ogrodem 46 m2 w super lokalizacji!!!,61451037,https://www.otodom.pl/pl/oferta/mieszkanie-z-ogrodem-46-m2-w-super-lokalizacji-ID49QdL.html#6bbbf99a2c
"41,53 m²",promo_top_ads,4amgn,,,Nieruchomości D.Dąbrowska,399000,9608,2 pokoje,Mieszkanie na sprzedaż:,super gotowe do wprowadzenia nowe 2 pokoje,61574207,https://www.otodom.pl/pl/oferta/super-gotowe-do-wprowadzenia-nowe-2-pokoje-ID4amgn.html#6bbbf99a2c
"49,13 m²",promo_top_ads,43KQH,,,Mromont sp. z o.o. sp. k.,440000,8956,3 pokoje,Mieszkanie na sprzedaż:,"Piątkowska 133, Mieszkanie 3.7, Poznań, nowe",60000419,https://www.otodom.pl/pl/oferta/piatkowska-133-mieszkanie-3-7-poznan-nowe-ID43KQH.html#6bbbf99a2c
"53,90 m²",listing_no_promo,44zzN,,,Perfect House,589000,10928,2 pokoje,Mieszkanie na sprzedaż:,super apartament 2 pokoje Centrum-Jeżyce,60195415,https://www.otodom.pl/pl/oferta/super-apartament-2-pokoje-centrum-jezyce-ID44zzN.html#6bbbf99a2c
"50,20 m²",listing_no_promo,471OY,,,Proxin Investment,381018,7590,2 pokoje,Mieszkanie na sprzedaż:,"Wygodne mieszkanie Nowe Ogrody, M1B/2",60780644,https://www.otodom.pl/pl/oferta/wygodne-mieszkanie-nowe-ogrody-m1b-2-ID471OY.html#6bbbf99a2c
47 m²,listing_no_promo,4adq7,,,WILLA NIERUCHOMOŚCI,330000,7021,4 pokoje,Mieszkanie na sprzedaż:,Poznań Sołacz mieszkanie 3 pokojowe,61540215,https://www.otodom.pl/pl/oferta/poznan-solacz-mieszkanie-3-pokojowe-ID4adq7.html#6bbbf99a2c
"54,50 m²",listing_no_promo,4adq5,,,Biuro Sprzedaży Mieszkań,363189,6664,2 pokoje,Mieszkanie na sprzedaż:,Niezależne 2 pokoje | GOTOWE do odbioru!,61540213,https://www.otodom.pl/pl/oferta/niezalezne-2-pokoje-gotowe-do-odbioru-ID4adq5.html#6bbbf99a2c
46 m²,listing_no_promo,4adp6,,,Biuro Sprzedaży Mieszkań,334352,7269,2 pokoje,Mieszkanie na sprzedaż:,Niezależna kuchnia | 2 pokoje | Odbiór na wiosnę!,61540152,https://www.otodom.pl/pl/oferta/niezalezna-kuchnia-2-pokoje-odbior-na-wiosne-ID4adp6.html#6bbbf99a2c
22 m²,listing_no_promo,48pVm,,,Oferta prywatna,234900,10677,1 pokój,Mieszkanie na sprzedaż:,Kawalerka ul. E.Raczyńskiego Podolany,61111686,https://www.otodom.pl/pl/oferta/kawalerka-ul-e-raczynskiego-podolany-ID48pVm.html#6bbbf99a2c
"42,25 m²",listing_no_promo,4ad37,,,Smart Nieruchomości,349000,8260,2 pokoje,Mieszkanie na sprzedaż:,"ul.Jasielska,2pok.taras,miejsce w hali garażowej",61538789,https://www.otodom.pl/pl/oferta/ul-jasielska-2pok-taras-miejsce-w-hali-garazowej-ID4ad37.html#6bbbf99a2c
