area,featured_name,item_id,latitude,longitude,others,price,price_per_m,rooms,subtitle,title,tracking_id,url
"48,10 m²",promo_top_ads,48YUG,,,Oferta prywatna,349000,7256,3 pokoje,Mieszkanie na sprzedaż:,Trzypokojowe na Winiarach - Bez pośredników,61246122,https://www.otodom.pl/pl/oferta/trzypokojowe-na-winiarach-bez-posrednikow-ID48YUG.html#a8e11952d1
"31,80 m²",promo_top_ads,4a3BF,,,BONKUBIAK,222000,6981,2 pokoje,Mieszkanie na sprzedaż:,Nowa kawalerka do końca tyg. 222000!!!,61502491,https://www.otodom.pl/pl/oferta/nowa-kawalerka-do-konca-tyg-222000-ID4a3BF.html#a8e11952d1
"43,99 m²",promo_top_ads,496va,,,Przedsiębiorstwo Inwestycji i Obrotu Nieruchomościami PION,322000,7320,2 pokoje,Mieszkanie na sprzedaż:,"Mieszkanie, 43,99 m², Poznań",61275354,https://www.otodom.pl/pl/oferta/mieszkanie-43-99-m-poznan-ID496va.html#a8e11952d1
"41,77 m²",listing_no_promo,4a4gz,,,N-HOME Nieruchomości,334586,8010,2 pokoje,Mieszkanie na sprzedaż:,2 Pokoje W Dobrej Cenie,61505027,https://www.otodom.pl/pl/oferta/2-pokoje-w-dobrej-cenie-ID4a4gz.html#a8e11952d1
"42,31 m²",listing_no_promo,4a40h,,,N-HOME Nieruchomości,310978,7350,2 pokoje,Mieszkanie na sprzedaż:,Super Oferta,61504017,https://www.otodom.pl/pl/oferta/super-oferta-ID4a40h.html#a8e11952d1
"57,13 m²",listing_no_promo,4a40i,,,N-HOME Nieruchomości,414192,7250,3 pokoje,Mieszkanie na sprzedaż:,3 Pokoje W Dobra Cena,61504018,https://www.otodom.pl/pl/oferta/3-pokoje-w-dobra-cena-ID4a40i.html#a8e11952d1
"31,80 m²",listing_no_promo,4a3BF,,,BONKUBIAK,222000,6981,2 pokoje,Mieszkanie na sprzedaż:,Nowa kawalerka do końca tyg. 222000!!!,61502491,https://www.otodom.pl/pl/oferta/nowa-kawalerka-do-konca-tyg-222000-ID4a3BF.html#a8e11952d1
67 m²,listing_no_promo,4a39G,,,PPHU Real Bis Hanna Majerowska,595000,8881,3 pokoje,Mieszkanie na sprzedaż:,Kościelna dwupoziomowe z loggią i garażem,61500756,https://www.otodom.pl/pl/oferta/koscielna-dwupoziomowe-z-loggia-i-garazem-ID4a39G.html#a8e11952d1
"46,90 m²",listing_no_promo,4a320,,,Investor Nieruchomości Franchise,319000,6802,2 pokoje,Mieszkanie na sprzedaż:,Dwupokojowe 47 M Bonin,61500280,https://www.otodom.pl/pl/oferta/dwupokojowe-47-m-bonin-ID4a320.html#a8e11952d1
"53,40 m²",listing_no_promo,49aVB,,,Oferta prywatna,385000,7210,2 pokoje,Mieszkanie na sprzedaż:,"W pełni wyposażone, słoneczne mieszkanie na Woli.",61292369,https://www.otodom.pl/pl/oferta/w-pelni-wyposazone-sloneczne-mieszkanie-na-woli-ID49aVB.html#a8e11952d1
"47,42 m²",listing_no_promo,4a2zA,,,BON ProInwestycje,403000,8499,2 pokoje,Mieszkanie na sprzedaż:,Mieszkanie z ogródkiem w Poznaniu,61498518,https://www.otodom.pl/pl/oferta/mieszkanie-z-ogrodkiem-w-poznaniu-ID4a2zA.html#a8e11952d1
"70,31 m²",listing_no_promo,4a2wv,,,BON ProInwestycje,515000,7325,4 pokoje,Mieszkanie na sprzedaż:,Mieszkanie Poznań Strzeszyn,61498266,https://www.otodom.pl/pl/oferta/mieszkanie-poznan-strzeszyn-ID4a2wv.html#a8e11952d1
99 m²,listing_no_promo,4a239,,,GoldenHome Nieruchomości S.C.,569000,5747,4 pokoje,Mieszkanie na sprzedaż:,Klimatyczne mieszkanie w zadbanej kamienicy,61496507,https://www.otodom.pl/pl/oferta/klimatyczne-mieszkanie-w-zadbanej-kamienicy-ID4a239.html#a8e11952d1
"64,68 m²",listing_no_promo,4a1Qo,,,HousExpert Agencja Nieruchomości Sp. z o.o.,469000,7251,3 pokoje,Mieszkanie na sprzedaż:,Sołacz mieszkanie 3 pokoje z balkonem,61495716,https://www.otodom.pl/pl/oferta/solacz-mieszkanie-3-pokoje-z-balkonem-ID4a1Qo.html#a8e11952d1
49 m²,listing_no_promo,49PpJ,,,Platan Nieruchomości Sp. z o.o.,365000,7449,2 pokoje,Mieszkanie na sprzedaż:,"Gotowe do zamieszkania, dwa niezależne pokoje!",61447935,https://www.otodom.pl/pl/oferta/gotowe-do-zamieszkania-dwa-niezalezne-pokoje-ID49PpJ.html#a8e11952d1
"63,32 m²",listing_no_promo,49IxP,,,Platan Nieruchomości Sp. z o.o.,489000,7723,3 pokoje,Mieszkanie na sprzedaż:,"Super mieszkanie z dużą loggią, cena do negocjacji",61421529,https://www.otodom.pl/pl/oferta/super-mieszkanie-z-duza-loggia-cena-do-negocjacji-ID49IxP.html#a8e11952d1
30 m²,listing_no_promo,49j8y,,,Platan Nieruchomości Sp. z o.o.,230000,7667,1 pokój,Mieszkanie na sprzedaż:,"Nowe budownictwo z opcją wykończenia, bez Pcc !",61323862,https://www.otodom.pl/pl/oferta/nowe-budownictwo-z-opcja-wykonczenia-bez-pcc-ID49j8y.html#a8e11952d1
"21,40 m²",listing_no_promo,49znb,,,Platan Nieruchomości Sp. z o.o.,195000,9112,1 pokój,Mieszkanie na sprzedaż:,Kawalerka Z Miejscem Parkingowym,61386273,https://www.otodom.pl/pl/oferta/kawalerka-z-miejscem-parkingowym-ID49znb.html#a8e11952d1
"68,73 m²",listing_no_promo,4a1Dm,,,Biuro sprzedaży mieszkań i domów. Alpen Grupa Nieruchomości,449800,6544,3 pokoje,Mieszkanie na sprzedaż:,Od Zaraz! 3-Pokoje Z Tarasem+Miejsce Postojowe,61494908,https://www.otodom.pl/pl/oferta/od-zaraz-3-pokoje-z-tarasem-miejsce-postojowe-ID4a1Dm.html#a8e11952d1
"30,20 m²",listing_no_promo,49A47,,,4 POKOJE,229000,7583,1 pokój,Mieszkanie na sprzedaż:,*Kawalerka na Sołaczu*,61388935,https://www.otodom.pl/pl/oferta/kawalerka-na-solaczu-ID49A47.html#a8e11952d1
38 m²,listing_no_promo,47W2S,,,Poznańscy Doradcy Nieruchomości,310000,8158,2 pokoje,Mieszkanie na sprzedaż:,Mieszkanie po gruntownym remoncie przy Sołaczu,60992926,https://www.otodom.pl/pl/oferta/mieszkanie-po-gruntownym-remoncie-przy-solaczu-ID47W2S.html#a8e11952d1
"124,41 m²",listing_no_promo,49ueR,,,Exon House,690000,5546,5 pokoi,Mieszkanie na sprzedaż:,Mieszkanie 124m2 w samym sercu Jeżyc Dąbrowskiego,61366537,https://www.otodom.pl/pl/oferta/mieszkanie-124m2-w-samym-sercu-jezyc-dabrowskiego-ID49ueR.html#a8e11952d1
"32,96 m²",listing_no_promo,49Z7k,,,Obsługa zdalna ABC NIERUCHOMOSCI,296640,9000,2 pokoje,Mieszkanie na sprzedaż:,JEŻYCE - Mieszkania w Rewitalizowanej Kamienicy,61485234,https://www.otodom.pl/pl/oferta/jezyce-mieszkania-w-rewitalizowanej-kamienicy-ID49Z7k.html#a8e11952d1
"35,32 m²",listing_no_promo,49Z4N,,,BONKUBIAK,315000,8918,2 pokoje,Mieszkanie na sprzedaż:,Gotowa inwestycja Druskienicka,61485077,https://www.otodom.pl/pl/oferta/gotowa-inwestycja-druskienicka-ID49Z4N.html#a8e11952d1
"55,72 m²",listing_no_promo,45sNi,,,Perfect House,489000,8776,3 pokoje,Mieszkanie na sprzedaż:,Kameralny apartament z ogródkiem na Podolanach,60407672,https://www.otodom.pl/pl/oferta/kameralny-apartament-z-ogrodkiem-na-podolanach-ID45sNi.html#a8e11952d1
81 m²,listing_no_promo,49YZi,,,Obsługa zdalna RBW Sp. z o.o.,588900,7270,3 pokoje,Mieszkanie na sprzedaż:,Dwupoziomowe. Nowa inwestycja. Rodzinne osiedle.,61484736,https://www.otodom.pl/pl/oferta/dwupoziomowe-nowa-inwestycja-rodzinne-osiedle-ID49YZi.html#a8e11952d1
"40,59 m²",listing_no_promo,49YXr,,,Expander Advisors,351925,8670,2 pokoje,Mieszkanie na sprzedaż:,Twoje wymarzone mieszkanie za 1300 zł ! Sprawdź !,61484621,https://www.otodom.pl/pl/oferta/twoje-wymarzone-mieszkanie-za-1300-zl-sprawdz-ID49YXr.html#a8e11952d1
65 m²,listing_no_promo,49YLK,,,Biuro Obrotu Nieruchomościami  Gendera-Teledom,548000,8431,4 pokoje,Mieszkanie na sprzedaż:,Mieszkanie ok.65m kw.(ze skosami ok.95mkw)Podolany,61483896,https://www.otodom.pl/pl/oferta/mieszkanie-ok-65m-kw-ze-skosami-ok-95mkwpodolany-ID49YLK.html#a8e11952d1
63 m²,listing_no_promo,4949P,,,Properties And Design,348000,5524,3 pokoje,Mieszkanie na sprzedaż:,3 pokojowe w odnowionej kamienicy - Jeżyce,61266281,https://www.otodom.pl/pl/oferta/3-pokojowe-w-odnowionej-kamienicy-jezyce-ID4949P.html#a8e11952d1
32 m²,listing_no_promo,49Xyv,,,Spechouse Sp. z o.o.,269000,8406,2 pokoje,Mieszkanie na sprzedaż:,Do zamieszkania od zaraz 2 pokoje Poznań Podolany,61479232,https://www.otodom.pl/pl/oferta/do-zamieszkania-od-zaraz-2-pokoje-poznan-podolany-ID49Xyv.html#a8e11952d1
"29,97 m²",listing_no_promo,49Xxo,,,Spechouse Sp. z o.o.,249900,8338,2 pokoje,Mieszkanie na sprzedaż:,Mieszkanie z wielkim 70m2 ogrodem Podolany 2pokoje,61479162,https://www.otodom.pl/pl/oferta/mieszkanie-z-wielkim-70m2-ogrodem-podolany-2pokoje-ID49Xxo.html#a8e11952d1
65 m²,listing_no_promo,48oXB,,,Browwar Nieruchomości,400000,6154,3 pokoje,Mieszkanie na sprzedaż:,Mieszkanie 3 pokojowe na Winiarach,61107919,https://www.otodom.pl/pl/oferta/mieszkanie-3-pokojowe-na-winiarach-ID48oXB.html#a8e11952d1
"63,28 m²",listing_no_promo,49LuU,,,Browwar Nieruchomości,348000,5499,3 pokoje,Mieszkanie na sprzedaż:,"Poddasze do adaptacji, piękna kamienica, Jeżyce",61432880,https://www.otodom.pl/pl/oferta/poddasze-do-adaptacji-piekna-kamienica-jezyce-ID49LuU.html#a8e11952d1
