area,featured_name,item_id,latitude,longitude,others,price,price_per_m,rooms,subtitle,title,tracking_id,url
"85,55 m²",promo_top_ads,4aprE,,,Oferta prywatna,680000,7949,4 pokoje,Mieszkanie na sprzedaż:,Podolany Nowe Gotowe Mieszkanie 85m2+17m2 balkon,61586438,https://www.otodom.pl/pl/oferta/podolany-nowe-gotowe-mieszkanie-85m2-17m2-balkon-ID4aprE.html#46f53463a1
"40,30 m²",promo_top_ads,49tnZ,,,Oferta prywatna,359000,8908,2 pokoje,Mieszkanie na sprzedaż:,"Jeżyce-2 pokoje, nowoczesne, mieszkanie/pod biuro",61363259,https://www.otodom.pl/pl/oferta/jezyce-2-pokoje-nowoczesne-mieszkanie-pod-biuro-ID49tnZ.html#46f53463a1
"68,40 m²",promo_top_ads,4aiKL,,,Oferta prywatna,573000,8377,3 pokoje,Mieszkanie na sprzedaż:,Piękne mieszkanie 3 pokojowe na Podolanach,61560715,https://www.otodom.pl/pl/oferta/piekne-mieszkanie-3-pokojowe-na-podolanach-ID4aiKL.html#46f53463a1
"42,70 m²",listing_no_promo,48tCT,,,Expander Advisors,313845,7350,2 pokoje,Mieszkanie na sprzedaż:,"Dwupokojowe, nowe budownictwo",61125855,https://www.otodom.pl/pl/oferta/dwupokojowe-nowe-budownictwo-ID48tCT.html#46f53463a1
"65,43 m²",listing_no_promo,49s4v,,,Expander Advisors,634671,9700,3 pokoje,Mieszkanie na sprzedaż:,Ponad 21M2 Tarasu/Komunikacja/Centrum/Parking,61358208,https://www.otodom.pl/pl/oferta/ponad-21m2-tarasu-komunikacja-centrum-parking-ID49s4v.html#46f53463a1
"104,38 m²",listing_no_promo,49s4i,,,Expander Advisors,970734,9300,4 pokoje,Mieszkanie na sprzedaż:,Apartamentowiec Otoczony Parkami/2 Tarasy/Garaż,61358194,https://www.otodom.pl/pl/oferta/apartamentowiec-otoczony-parkami-2-tarasy-garaz-ID49s4i.html#46f53463a1
"48,61 m²",listing_no_promo,48mCO,,,DORADZTWO Nieruchomości Stiller&Milecki,480000,9875,2 pokoje,Mieszkanie na sprzedaż:,"Apartament ul.Kościelna 33 ,taras,m.postojowe",61098942,https://www.otodom.pl/pl/oferta/apartament-ul-koscielna-33-taras-m-postojowe-ID48mCO.html#46f53463a1
"32,96 m²",listing_no_promo,43KQf,,,Mromont sp. z o.o. sp. k.,309000,9375,2 pokoje,Mieszkanie na sprzedaż:,"Piątkowska 133, Mieszkanie 3.5, Poznań, nowe",60000391,https://www.otodom.pl/pl/oferta/piatkowska-133-mieszkanie-3-5-poznan-nowe-ID43KQf.html#46f53463a1
"84,65 m²",listing_no_promo,49q6S,,,Expander Advisors,821105,9700,3 pokoje,Mieszkanie na sprzedaż:,Ponad 37M2 Tarasu/Komunikacja/Centrum/Parking,61350666,https://www.otodom.pl/pl/oferta/ponad-37m2-tarasu-komunikacja-centrum-parking-ID49q6S.html#46f53463a1
"85,80 m²",listing_no_promo,471NY,,,Proxin Investment,646932,7540,4 pokoje,Mieszkanie na sprzedaż:,"Wyjątkowe mieszkanie Nowe Ogrody, M1A/2",60780582,https://www.otodom.pl/pl/oferta/wyjatkowe-mieszkanie-nowe-ogrody-m1a-2-ID471NY.html#46f53463a1
"72,81 m²",listing_no_promo,471Oy,,,Proxin Investment,53660970,7370,4 pokoje,Mieszkanie na sprzedaż:,"Twoje nowe mieszkanie Nowe Ogrody, M1./5",60780618,https://www.otodom.pl/pl/oferta/twoje-nowe-mieszkanie-nowe-ogrody-m1-5-ID471Oy.html#46f53463a1
"62,52 m²",listing_no_promo,471MJ,,,Proxin Investment,47952840,7670,3 pokoje,Mieszkanie na sprzedaż:,"Przestronne mieszkanie Nowe Ogrody, M1B/4",60780505,https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-nowe-ogrody-m1b-4-ID471MJ.html#46f53463a1
"52,33 m²",listing_no_promo,49pwb,,,KWPoland,402324,7688,2 pokoje,Mieszkanie na sprzedaż:,Mieszkanie z ogrodem - Nasze Jeżyce,61348329,https://www.otodom.pl/pl/oferta/mieszkanie-z-ogrodem-nasze-jezyce-ID49pwb.html#46f53463a1
"105,90 m²",listing_no_promo,49oMc,,,Expander Advisors,1006050,9500,4 pokoje,Mieszkanie na sprzedaż:,Apartamentowiec Otoczony Parkami/2 Tarasy/Garaż,61345540,https://www.otodom.pl/pl/oferta/apartamentowiec-otoczony-parkami-2-tarasy-garaz-ID49oMc.html#46f53463a1
"29,28 m²",listing_no_promo,49oi2,,,Nieruchomości Vendo,285000,9734,2 pokoje,Mieszkanie na sprzedaż:,"Mieszkanie, 29,28 m², Poznań",61343670,https://www.otodom.pl/pl/oferta/mieszkanie-29-28-m-poznan-ID49oi2.html#46f53463a1
"47,42 m²",listing_no_promo,49o9x,,,CELKA Property Sp. z o. o.,398500,8404,2 pokoje,Mieszkanie na sprzedaż:,Nowe mieszkaniena Strzeszynie z ogrodem.,61343143,https://www.otodom.pl/pl/oferta/nowe-mieszkaniena-strzeszynie-z-ogrodem-ID49o9x.html#46f53463a1
27 m²,listing_no_promo,49nIi,,,De Novo Nieruchomości,329000,12185,1 pokój,Mieszkanie na sprzedaż:,Stylowa kawalerka obok Targów,61341454,https://www.otodom.pl/pl/oferta/stylowa-kawalerka-obok-targow-ID49nIi.html#46f53463a1
"74,35 m²",listing_no_promo,471P4,,,Proxin Investment,575469,7740,3 pokoje,Mieszkanie na sprzedaż:,"Nowoczesne mieszkanie Nowe Ogrody, M1./4",60780650,https://www.otodom.pl/pl/oferta/nowoczesne-mieszkanie-nowe-ogrody-m1-4-ID471P4.html#46f53463a1
"85,70 m²",listing_no_promo,471KA,,,Proxin Investment,684743,7990,4 pokoje,Mieszkanie na sprzedaż:,"Przytulne mieszkanie Nowe Ogrody, M1A/11",60780372,https://www.otodom.pl/pl/oferta/przytulne-mieszkanie-nowe-ogrody-m1a-11-ID471KA.html#46f53463a1
"64,34 m²",listing_no_promo,471Of,,,Proxin Investment,48512360,7540,3 pokoje,Mieszkanie na sprzedaż:,"Przytulne mieszkanie Nowe Ogrody, M1./7",60780599,https://www.otodom.pl/pl/oferta/przytulne-mieszkanie-nowe-ogrody-m1-7-ID471Of.html#46f53463a1
"63,40 m²",listing_no_promo,49n4q,,,GoldenHome Nieruchomości S.C.,389000,6136,3 pokoje,Mieszkanie na sprzedaż:,Przestronne mieszkanie w nowszym bloku na Strzeszy,61338982,https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-w-nowszym-bloku-na-strzeszy-ID49n4q.html#46f53463a1
210 m²,listing_no_promo,49mL5,,,Platan Nieruchomości Sp. z o.o.,1250000,5952,4 pokoje,Mieszkanie na sprzedaż:,Lokal użytkowy ul.Wawrzyniaka Jeżyce,61337783,https://www.otodom.pl/pl/oferta/lokal-uzytkowy-ul-wawrzyniaka-jezyce-ID49mL5.html#46f53463a1
"66,11 m²",listing_no_promo,47FQW,,,RE/MAX Polska - Międzynarodowa Sieć Biur Nieruchomości,528880,8000,3 pokoje,Mieszkanie na sprzedaż:,"Jeżyce, ul.Polna, 3 pokoje do własnej aranżacji.",60934525,https://www.otodom.pl/pl/oferta/jezyce-ul-polna-3-pokoje-do-wlasnej-aranzacji-ID47FQW.html#46f53463a1
"88,50 m²",listing_no_promo,49kDw,,,Budimex Nieruchomości Sp. z o.o.,,,4 pokoje,Mieszkanie na sprzedaż:,Famma Dąbrowskiego | Apartament B6/115,61329625,https://www.otodom.pl/pl/oferta/famma-dabrowskiego-apartament-b6-115-ID49kDw.html#46f53463a1
"88,46 m²",listing_no_promo,49kDs,,,Budimex Nieruchomości Sp. z o.o.,,,4 pokoje,Mieszkanie na sprzedaż:,Famma Dąbrowskiego | Apartament B6/150,61329622,https://www.otodom.pl/pl/oferta/famma-dabrowskiego-apartament-b6-150-ID49kDs.html#46f53463a1
"83,51 m²",listing_no_promo,49kDn,,,Budimex Nieruchomości Sp. z o.o.,,,4 pokoje,Mieszkanie na sprzedaż:,Famma Dąbrowskiego | Apartament B6/70,61329617,https://www.otodom.pl/pl/oferta/famma-dabrowskiego-apartament-b6-70-ID49kDn.html#46f53463a1
"82,70 m²",listing_no_promo,49kDl,,,Budimex Nieruchomości Sp. z o.o.,,,4 pokoje,Mieszkanie na sprzedaż:,Famma Dąbrowskiego | Apartament B6/60,61329615,https://www.otodom.pl/pl/oferta/famma-dabrowskiego-apartament-b6-60-ID49kDl.html#46f53463a1
