area,featured_name,item_id,latitude,longitude,others,price,price_per_m,rooms,subtitle,title,tracking_id,url
32 m²,promo_top_ads,4aq5C,,,Oferta prywatna,384000,12000,1 pokój,Mieszkanie na sprzedaż:,Mieszkanie w zrewitalizowanej kamienicy_Poznańska,61588916,https://www.otodom.pl/pl/oferta/mieszkanie-w-zrewitalizowanej-kamienicy-poznanska-ID4aq5C.html#ca314e1817
120 m²,promo_top_ads,49yGj,,,Oferta pośrednika,499000,4158,4 pokoje,Mieszkanie na sprzedaż:,"Sołacz, po podłodze 120m2, + miejsce na auto !",61383615,https://www.otodom.pl/pl/oferta/solacz-po-podlodze-120m2-miejsce-na-auto-ID49yGj.html#ca314e1817
22 m²,promo_top_ads,48pVm,,,Oferta prywatna,234900,10677,1 pokój,Mieszkanie na sprzedaż:,Kawalerka ul. E.Raczyńskiego Podolany,61111686,https://www.otodom.pl/pl/oferta/kawalerka-ul-e-raczynskiego-podolany-ID48pVm.html#ca314e1817
"64,84 m²",listing_no_promo,49gAK,,,Home Empire,395524,6100,3 pokoje,Mieszkanie na sprzedaż:,Nowa inwestycja! Trzy pokoje z dużym balkonem!,61314078,https://www.otodom.pl/pl/oferta/nowa-inwestycja-trzy-pokoje-z-duzym-balkonem-ID49gAK.html#ca314e1817
"64,96 m²",listing_no_promo,49gyU,,,Home Empire,399504,6150,3 pokoje,Mieszkanie na sprzedaż:,Nowość! Przestronne 3 pokoje plus 189 mkw ogrodu!,61313964,https://www.otodom.pl/pl/oferta/nowosc-przestronne-3-pokoje-plus-189-mkw-ogrodu-ID49gyU.html#ca314e1817
"44,93 m²",listing_no_promo,49gyx,,,Home Empire,29878450,6650,2 pokoje,Mieszkanie na sprzedaż:,Willa Natura! 2 pokoje z duży balkonem narożnym!,61313941,https://www.otodom.pl/pl/oferta/willa-natura-2-pokoje-z-duzy-balkonem-naroznym-ID49gyx.html#ca314e1817
"87,45 m²",listing_no_promo,49gy6,,,Home Empire,498465,5700,3 pokoje,Mieszkanie na sprzedaż:,Nowość! Apartament 87 m2 blisko jeziora! 2 balkony,61313914,https://www.otodom.pl/pl/oferta/nowosc-apartament-87-m2-blisko-jeziora-2-balkony-ID49gy6.html#ca314e1817
"64,71 m²",listing_no_promo,49gxP,,,Home Empire,39796650,6150,3 pokoje,Mieszkanie na sprzedaż:,Nowa inwestycja! 3 pokoje z dużym balkonem!,61313897,https://www.otodom.pl/pl/oferta/nowa-inwestycja-3-pokoje-z-duzym-balkonem-ID49gxP.html#ca314e1817
"45,05 m²",listing_no_promo,49gxf,,,Home Empire,297330,6600,2 pokoje,Mieszkanie na sprzedaż:,Nowość! 2 pokoje z dużym balkonem! Blisko jeziora!,61313861,https://www.otodom.pl/pl/oferta/nowosc-2-pokoje-z-duzym-balkonem-blisko-jeziora-ID49gxf.html#ca314e1817
"27,11 m²",listing_no_promo,43KPM,,,Mromont sp. z o.o. sp. k.,270000,9959,3 pokoje,Mieszkanie na sprzedaż:,"Piątkowska 133, Mieszkanie 3.4, Poznań, nowe",60000362,https://www.otodom.pl/pl/oferta/piatkowska-133-mieszkanie-3-4-poznan-nowe-ID43KPM.html#ca314e1817
"109,91 m²",listing_no_promo,48TwO,,,Expander Advisors,774865,7050,4 pokoje,Mieszkanie na sprzedaż:,Przestronne 4 pokojowe mieszkanie w Strzeszynie,61225360,https://www.otodom.pl/pl/oferta/przestronne-4-pokojowe-mieszkanie-w-strzeszynie-ID48TwO.html#ca314e1817
