area,featured_name,item_id,latitude,longitude,others,price,price_per_m,rooms,subtitle,title,tracking_id,url
"29,35 m²",promo_top_ads,49hJ7,,,Obsługa zdalna Oferta prywatna,286775,9771,2 pokoje,Mieszkanie na sprzedaż:,Wykończone - 2 pokojowe! Brak podatku PCC 2%,61318441,https://www.otodom.pl/pl/oferta/wykonczone-2-pokojowe-brak-podatku-pcc-2-ID49hJ7.html#ea1fc958cd
62 m²,promo_top_ads,4a9We,,,Obsługa zdalna Manufaktura Mieszkań,549000,8855,3 pokoje,Mieszkanie na sprzedaż:,Strzeszyn Park | Ogród | 3 pokoje |pod klucz|garaż,61526768,https://www.otodom.pl/pl/oferta/strzeszyn-park-ogrod-3-pokoje-pod-klucz-garaz-ID4a9We.html#ea1fc958cd
"66,11 m²",promo_top_ads,47FQW,,,RE/MAX Polska - Międzynarodowa Sieć Biur Nieruchomości,528880,8000,3 pokoje,Mieszkanie na sprzedaż:,"Jeżyce, ul.Polna, 3 pokoje do własnej aranżacji.",60934525,https://www.otodom.pl/pl/oferta/jezyce-ul-polna-3-pokoje-do-wlasnej-aranzacji-ID47FQW.html#ea1fc958cd
"47,20 m²",listing_no_promo,49umP,,,Platan Nieruchomości Sp. z o.o.,349000,7394,3 pokoje,Mieszkanie na sprzedaż:,"3 niezależne pokoje, super lokalizacja, parking!",61367031,https://www.otodom.pl/pl/oferta/3-niezalezne-pokoje-super-lokalizacja-parking-ID49umP.html#ea1fc958cd
79 m²,listing_no_promo,49LGB,,,Corner Nieruchomości,499000,6316,2 pokoje,Mieszkanie na sprzedaż:,"Jeżyce, 2 pokoje, 79m2, balkon",61433605,https://www.otodom.pl/pl/oferta/jezyce-2-pokoje-79m2-balkon-ID49LGB.html#ea1fc958cd
"42,68 m²",listing_no_promo,49LzZ,,,Corner Nieruchomości,390522,9150,2 pokoje,Mieszkanie na sprzedaż:,"Dwupokojowe mieszkanie, ul.Św. Leonarda 8",61433195,https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-ul-sw-leonarda-8-ID49LzZ.html#ea1fc958cd
"80,58 m²",listing_no_promo,49LA0,,,Corner Nieruchomości,610000,7570,5 pokoi,Mieszkanie na sprzedaż:,"Dwupoziomowe mieszkanie, ul.Św. Leonarda 8",61433196,https://www.otodom.pl/pl/oferta/dwupoziomowe-mieszkanie-ul-sw-leonarda-8-ID49LA0.html#ea1fc958cd
"78,80 m²",listing_no_promo,49LxY,,,MS Nieruchomości,55152120,6999,3 pokoje,Mieszkanie na sprzedaż:,Apartamenty taras/ogród/parking od 5500/m2,61433070,https://www.otodom.pl/pl/oferta/apartamenty-taras-ogrod-parking-od-5500-m2-ID49LxY.html#ea1fc958cd
"79,60 m²",listing_no_promo,49LxX,,,MS Nieruchomości,517400,6500,3 pokoje,Mieszkanie na sprzedaż:,Apartamenty taras/ogród/parking od 5500/m2,61433069,https://www.otodom.pl/pl/oferta/apartamenty-taras-ogrod-parking-od-5500-m2-ID49LxX.html#ea1fc958cd
"159,30 m²",listing_no_promo,49LxP,,,MS Nieruchomości,876150,5500,6 pokoi,Mieszkanie na sprzedaż:,Apartamenty taras/ogród/parking od 5500/m2,61433061,https://www.otodom.pl/pl/oferta/apartamenty-taras-ogrod-parking-od-5500-m2-ID49LxP.html#ea1fc958cd
"162,20 m²",listing_no_promo,49LxM,,,MS Nieruchomości,892100,5500,6 pokoi,Mieszkanie na sprzedaż:,Apartamenty taras/ogród/parking od 5500/m2,61433058,https://www.otodom.pl/pl/oferta/apartamenty-taras-ogrod-parking-od-5500-m2-ID49LxM.html#ea1fc958cd
