area,featured_name,item_id,latitude,longitude,others,price,price_per_m,rooms,subtitle,title,tracking_id,url
31 m²,promo_top_ads,49Ssf,,,Oferta prywatna,310000,10000,2 pokoje,Mieszkanie na sprzedaż:,Nowe mieszkanie | 31m | gotowe do zamieszkania,61459623,https://www.otodom.pl/pl/oferta/nowe-mieszkanie-31m-gotowe-do-zamieszkania-ID49Ssf.html#4ab8afc903
65 m²,promo_top_ads,49kp3,,,Obsługa zdalna Oferta prywatna,435000,6692,3 pokoje,Mieszkanie na sprzedaż:,Piękne mieszkanie po remoncie z ogródkiem,61328729,https://www.otodom.pl/pl/oferta/piekne-mieszkanie-po-remoncie-z-ogrodkiem-ID49kp3.html#4ab8afc903
"87,45 m²",promo_top_ads,49gy6,,,Home Empire,498465,5700,3 pokoje,Mieszkanie na sprzedaż:,Nowość! Apartament 87 m2 blisko jeziora! 2 balkony,61313914,https://www.otodom.pl/pl/oferta/nowosc-apartament-87-m2-blisko-jeziora-2-balkony-ID49gy6.html#4ab8afc903
"44,31 m²",listing_no_promo,4ak9Y,,,Obsługa zdalna Beata Zajączkowska,325678,7350,2 pokoje,Mieszkanie na sprzedaż:,"2 pokoje plus balkon, Strzeszyn",61566122,https://www.otodom.pl/pl/oferta/2-pokoje-plus-balkon-strzeszyn-ID4ak9Y.html#4ab8afc903
65 m²,listing_no_promo,4ak9U,,,Garbacik Nieruchomości,437000,6723,3 pokoje,Mieszkanie na sprzedaż:,II piętro / niski blok. Blisko Parku Sołackiego.,61566118,https://www.otodom.pl/pl/oferta/ii-pietro-niski-blok-blisko-parku-solackiego-ID4ak9U.html#4ab8afc903
50 m²,listing_no_promo,4ajYT,,,Północ Nieruchomości- oddział Końskie,610000,12200,2 pokoje,Mieszkanie na sprzedaż:,"Apartament w Poznaniu, ulica Zwierzyniecka.",61565435,https://www.otodom.pl/pl/oferta/apartament-w-poznaniu-ulica-zwierzyniecka-ID4ajYT.html#4ab8afc903
"130,40 m²",listing_no_promo,4ajYE,,,Choiński Kroll Nieruchomości,769000,5897,4 pokoje,Mieszkanie na sprzedaż:,"Jasne, przestronne mieszkanie w zaciszu Poznania",61565420,https://www.otodom.pl/pl/oferta/jasne-przestronne-mieszkanie-w-zaciszu-poznania-ID4ajYE.html#4ab8afc903
"25,12 m²",listing_no_promo,4ajJy,,,Immo House,232000,9236,1 pokój,Mieszkanie na sprzedaż:,kawalerka obok rynku jeżyckiego,61564484,https://www.otodom.pl/pl/oferta/kawalerka-obok-rynku-jezyckiego-ID4ajJy.html#4ab8afc903
"39,56 m²",listing_no_promo,4ajH3,,,Oferta prywatna,442000,11173,2 pokoje,Mieszkanie na sprzedaż:,"Poznań-Jackowskiego, apartamentowiec 40m2 + garaż",61564329,https://www.otodom.pl/pl/oferta/poznan-jackowskiego-apartamentowiec-40m2-garaz-ID4ajH3.html#4ab8afc903
"48,10 m²",listing_no_promo,48YUG,,,Oferta prywatna,349000,7256,3 pokoje,Mieszkanie na sprzedaż:,Trzypokojowe na Winiarach - Bez pośredników,61246122,https://www.otodom.pl/pl/oferta/trzypokojowe-na-winiarach-bez-posrednikow-ID48YUG.html#4ab8afc903
