area,featured_name,item_id,latitude,longitude,others,price,price_per_m,rooms,subtitle,title,tracking_id,url
"42,76 m²",promo_top_ads,46vQ8,,,Oferta prywatna,360000,8419,2 pokoje,Mieszkanie na sprzedaż:,Wyjątkowe mieszkanie na Jeżycach - perełka!,60661552,https://www.otodom.pl/oferta/wyjatkowe-mieszkanie-na-jezycach-perelka-ID46vQ8.html#a8e11952d1
"47,02 m²",promo_top_ads,455Cy,,,Oferta prywatna,410000,8720,2 pokoje,Mieszkanie na sprzedaż:,"Ciche mieszkanie, Jeżyce, Bamberski Dwór",60318594,https://www.otodom.pl/oferta/ciche-mieszkanie-jezyce-bamberski-dwor-ID455Cy.html#a8e11952d1
"45,49 m²",promo_top_ads,46tvh,,,Oferta prywatna,360000,7914,2 pokoje,Mieszkanie na sprzedaż:,"Urocze, przytulne mieszkanie na Jeżycach.",60648789,https://www.otodom.pl/oferta/urocze-przytulne-mieszkanie-na-jezycach-ID46tvh.html#a8e11952d1
117 m²,listing_no_promo,45Zx3,,,Posesja,995000,8504,4 pokoje,Mieszkanie na sprzedaż:,Mieszkanie Jeżyce Prusa,60533517,https://www.otodom.pl/oferta/mieszkanie-jezyce-prusa-ID45Zx3.html#a8e11952d1
29 m²,listing_no_promo,45YzC,,,Corner Nieruchomości,269900,9307,1 pokój,Mieszkanie na sprzedaż:,"Kawalerka Sołacz, w pełni wyposażona.",60529832,https://www.otodom.pl/oferta/kawalerka-solacz-w-pelni-wyposazona-ID45YzC.html#a8e11952d1
"29,79 m²",listing_no_promo,45AAS,,,CONSTRUCTA PLUS,,,1 pokój,Mieszkanie na sprzedaż:,"Winiarska 40, mieszkanie M14",60437654,https://www.otodom.pl/oferta/winiarska-40-mieszkanie-m14-ID45AAS.html#a8e11952d1
68 m²,listing_no_promo,43SVT,,,HousExpert Agencja Nieruchomości sp. z o.o.,560000,8235,3 pokoje,Mieszkanie na sprzedaż:,"2 osobne kawalerki, idealne na inwestycje.",60031555,https://www.otodom.pl/oferta/2-osobne-kawalerki-idealne-na-inwestycje-ID43SVT.html#a8e11952d1
"63,36 m²",listing_no_promo,45Xw0,,,Express House,49123008,7753,3 pokoje,Mieszkanie na sprzedaż:,* Park Sołacki * bez prowizji * 0% Pcc *,60525702,https://www.otodom.pl/oferta/park-solacki-bez-prowizji-0-pcc-ID45Xw0.html#a8e11952d1
"38,90 m²",listing_no_promo,45X9n,,,Bylewscy Nieruchomości Anna Bylewska,335000,8612,2 pokoje,Mieszkanie na sprzedaż:,Mieszkanie idealne na start i wynajem,60524361,https://www.otodom.pl/oferta/mieszkanie-idealne-na-start-i-wynajem-ID45X9n.html#a8e11952d1
"68,52 m²",listing_no_promo,45VaK,,,Galeria Nieruchomości Sp. z o.o.,539000,7866,3 pokoje,Mieszkanie na sprzedaż:,Komfortowe mieszkanie w pobliżu terenów zielonych!,60520602,https://www.otodom.pl/oferta/komfortowe-mieszkanie-w-poblizu-terenow-zielonych-ID45VaK.html#a8e11952d1
"69,40 m²",listing_no_promo,44NH6,,,BAWA INVEST Spółka z ograniczoną odpowiedzialnością Sp. k.,,,3 pokoje,Mieszkanie na sprzedaż:,Apartamenty Rogozińska - Mieszkanie Dolne 20C,60249684,https://www.otodom.pl/oferta/apartamenty-rogozinska-mieszkanie-dolne-20c-ID44NH6.html#a8e11952d1
"69,40 m²",listing_no_promo,44NH9,,,BAWA INVEST Spółka z ograniczoną odpowiedzialnością Sp. k.,,,3 pokoje,Mieszkanie na sprzedaż:,Apartamenty Rogozińska - Mieszkanie Dolne 20G,60249687,https://www.otodom.pl/oferta/apartamenty-rogozinska-mieszkanie-dolne-20g-ID44NH9.html#a8e11952d1
"50,02 m²",listing_no_promo,45V4c,,,BROKERZY24,430000,8597,3 pokoje,Mieszkanie na sprzedaż:,"Mieszkanie, 50,02 m², Poznań",60520196,https://www.otodom.pl/oferta/mieszkanie-50-02-m-poznan-ID45V4c.html#a8e11952d1
"71,30 m²",listing_no_promo,45WpO,,,MATECKI Nieruchomości,556140,7800,4 pokoje,Mieszkanie na sprzedaż:,#M4 #Bezpośrednio od dewelopera bez PCC i 0%,60517692,https://www.otodom.pl/oferta/m4-bezposrednio-od-dewelopera-bez-pcc-i-0-ID45WpO.html#a8e11952d1
"67,50 m²",listing_no_promo,45WnS,,,MATECKI Nieruchomości,519750,7700,4 pokoje,Mieszkanie na sprzedaż:,#M4 #Bezpośrednio od dewelopera bez PCC i 0%,60517572,https://www.otodom.pl/oferta/m4-bezposrednio-od-dewelopera-bez-pcc-i-0-ID45WnS.html#a8e11952d1
"57,60 m²",listing_no_promo,45Wk3,,,MATECKI Nieruchomości,449280,7800,3 pokoje,Mieszkanie na sprzedaż:,#M3 #Bezpośrednio od dewelopera bez PCC i 0%,60517335,https://www.otodom.pl/oferta/m3-bezposrednio-od-dewelopera-bez-pcc-i-0-ID45Wk3.html#a8e11952d1
73 m²,listing_no_promo,45UXD,,,Nieruchomości Futuro Gajda&Raś,585000,8014,3 pokoje,Mieszkanie na sprzedaż:,"Poznań, Sołacz, al. Wielkopolska",60515945,https://www.otodom.pl/oferta/poznan-solacz-al-wielkopolska-ID45UXD.html#a8e11952d1
"47,71 m²",listing_no_promo,45UIf,,,Shark Nieruchomości,349000,7315,2 pokoje,Mieszkanie na sprzedaż:,Komfortowe 2 pokoje w Strzeszynie,60514991,https://www.otodom.pl/oferta/komfortowe-2-pokoje-w-strzeszynie-ID45UIf.html#a8e11952d1
