area,featured_name,item_id,latitude,longitude,others,price,price_per_m,rooms,subtitle,title,tracking_id,url
47 m²,promo_top_ads,45wRf,,,Oferta pośrednika,450000,9574,2 pokoje,Mieszkanie na sprzedaż:,Mieszkanie 47m Zajezdnia Poznań,60419449,https://www.otodom.pl/oferta/mieszkanie-47m-zajezdnia-poznan-ID45wRf.html#ca314e1817
"85,75 m²",promo_top_ads,3CpHe,,,Oferta prywatna,557375,6500,4 pokoje,Mieszkanie na sprzedaż:,"Atrakcyjne mieszkanie, 4 pokoje, z ogródkiem",53484252,https://www.otodom.pl/oferta/atrakcyjne-mieszkanie-4-pokoje-z-ogrodkiem-ID3CpHe.html#ca314e1817
24 m²,promo_top_ads,45Hq5,,,Obsługa zdalna Oferta prywatna,246000,10250,1 pokój,Mieszkanie na sprzedaż:,BLOKADA! Piękna po remoncie kawalerka SOŁACZ Cegła,60463893,https://www.otodom.pl/oferta/blokada-piekna-po-remoncie-kawalerka-solacz-cegla-ID45Hq5.html#ca314e1817
"100,13 m²",listing_no_promo,45k8M,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,831079,8300,4 pokoje,Mieszkanie na sprzedaż:,Mieszkanie B37,60374408,https://www.otodom.pl/oferta/mieszkanie-b37-ID45k8M.html#ca314e1817
"39,46 m²",listing_no_promo,45k8C,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,347248,8800,2 pokoje,Mieszkanie na sprzedaż:,Mieszkanie B36,60374398,https://www.otodom.pl/oferta/mieszkanie-b36-ID45k8C.html#ca314e1817
"91,57 m²",listing_no_promo,45k8x,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,,,4 pokoje,Mieszkanie na sprzedaż:,Rezerwacja Mieszkanie B35,60374393,https://www.otodom.pl/oferta/rezerwacja-mieszkanie-b35-ID45k8x.html#ca314e1817
"27,84 m²",listing_no_promo,45k8w,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,250560,9000,1 pokój,Mieszkanie na sprzedaż:,Mieszkanie B34,60374391,https://www.otodom.pl/oferta/mieszkanie-b34-ID45k8w.html#ca314e1817
"31,28 m²",listing_no_promo,45k89,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,272136,8700,1 pokój,Mieszkanie na sprzedaż:,Mieszkanie B33,60374369,https://www.otodom.pl/oferta/mieszkanie-b33-ID45k89.html#ca314e1817
"67,52 m²",listing_no_promo,45k85,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,523280,7750,3 pokoje,Mieszkanie na sprzedaż:,Mieszkanie B32,60374365,https://www.otodom.pl/oferta/mieszkanie-b32-ID45k85.html#ca314e1817
"43,75 m²",listing_no_promo,45k83,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,35656250,8150,2 pokoje,Mieszkanie na sprzedaż:,Mieszkanie B31,60374363,https://www.otodom.pl/oferta/mieszkanie-b31-ID45k83.html#ca314e1817
"45,03 m²",listing_no_promo,45k7T,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,,,2 pokoje,Mieszkanie na sprzedaż:,Rezerwacja Mieszkanie B30,60374353,https://www.otodom.pl/oferta/rezerwacja-mieszkanie-b30-ID45k7T.html#ca314e1817
"44,96 m²",listing_no_promo,45k7P,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,,,2 pokoje,Mieszkanie na sprzedaż:,Rezerwacja Mieszkanie B29,60374349,https://www.otodom.pl/oferta/rezerwacja-mieszkanie-b29-ID45k7P.html#ca314e1817
"54,89 m²",listing_no_promo,45k7L,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,433631,7900,2 pokoje,Mieszkanie na sprzedaż:,Mieszkanie B28,60374345,https://www.otodom.pl/oferta/mieszkanie-b28-ID45k7L.html#ca314e1817
"45,20 m²",listing_no_promo,45jUC,,,Platan Nieruchomości Sp. z o.o.,382500,8462,2 pokoje,Mieszkanie na sprzedaż:,Mieszkanie w centrum Jeżyc z miejscem parkingowym,60373530,https://www.otodom.pl/oferta/mieszkanie-w-centrum-jezyc-z-miejscem-parkingowym-ID45jUC.html#ca314e1817
"39,48 m²",listing_no_promo,45jBX,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,339528,8600,2 pokoje,Mieszkanie na sprzedaż:,Mieszkanie B27,60372373,https://www.otodom.pl/oferta/mieszkanie-b27-ID45jBX.html#ca314e1817
"91,57 m²",listing_no_promo,45jBS,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,677618,7400,4 pokoje,Mieszkanie na sprzedaż:,Mieszkanie B26,60372368,https://www.otodom.pl/oferta/mieszkanie-b26-ID45jBS.html#ca314e1817
"27,84 m²",listing_no_promo,45jBB,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,244992,8800,1 pokój,Mieszkanie na sprzedaż:,Mieszkanie B25,60372351,https://www.otodom.pl/oferta/mieszkanie-b25-ID45jBB.html#ca314e1817
"31,28 m²",listing_no_promo,45jBr,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,270572,8650,1 pokój,Mieszkanie na sprzedaż:,Mieszkanie B24,60372341,https://www.otodom.pl/oferta/mieszkanie-b24-ID45jBr.html#ca314e1817
"67,52 m²",listing_no_promo,45jBl,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,509776,7550,3 pokoje,Mieszkanie na sprzedaż:,Mieszkanie B23,60372335,https://www.otodom.pl/oferta/mieszkanie-b23-ID45jBl.html#ca314e1817
"43,75 m²",listing_no_promo,45jB2,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,350000,8000,2 pokoje,Mieszkanie na sprzedaż:,Mieszkania B22,60372316,https://www.otodom.pl/oferta/mieszkania-b22-ID45jB2.html#ca314e1817
"45,03 m²",listing_no_promo,45jAY,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,355737,7900,2 pokoje,Mieszkanie na sprzedaż:,Mieszkanie B21,60372312,https://www.otodom.pl/oferta/mieszkanie-b21-ID45jAY.html#ca314e1817
"44,96 m²",listing_no_promo,45jAW,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,355184,7900,2 pokoje,Mieszkanie na sprzedaż:,Mieszkanie B20,60372309,https://www.otodom.pl/oferta/mieszkanie-b20-ID45jAW.html#ca314e1817
"54,89 m²",listing_no_promo,45jAK,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,428142,7800,2 pokoje,Mieszkanie na sprzedaż:,Mieszkanie B19,60372298,https://www.otodom.pl/oferta/mieszkanie-b19-ID45jAK.html#ca314e1817
"39,48 m²",listing_no_promo,45jAH,,,Colian Developer Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,,,2 pokoje,Mieszkanie na sprzedaż:,Rezerwacja Mieszkanie B18,60372295,https://www.otodom.pl/oferta/rezerwacja-mieszkanie-b18-ID45jAH.html#ca314e1817
