area,featured_name,item_id,latitude,longitude,others,price,price_per_m,rooms,subtitle,title,tracking_id,url,Lat,Lon,Const_Stat,ownership
47 m²,listing_no_promo,45JWA,,,SZEŚĆ ŚCIAN,470000.0,10000.0,2 pokoje,Mieszkanie na sprzedaż:,Mieszkanie 2-pok | Balkon | Parking | Winda,60473534,https://www.otodom.pl/oferta/mieszkanie-2-pok-balkon-parking-winda-ID45JWA.html#2bd0e70758,52.4098019,16.903235600000002,"[""ready_to_use""]",no data
47 m²,listing_no_promo,45JWC,,,SZEŚĆ ŚCIAN,480000.0,10213.0,2 pokoje,Mieszkanie na sprzedaż:,Mieszkanie 2-pok | Winda | Rozkład | Zwierzyniecka,60473536,https://www.otodom.pl/oferta/mieszkanie-2-pok-winda-rozklad-zwierzyniecka-ID45JWC.html#2bd0e70758,52.4098019,16.903235600000002,"[""ready_to_use""]","[""full_ownership""]"
"72,39 m²",listing_no_promo,45K4i,,,SZEŚĆ ŚCIAN,680000.0,9394.0,3 pokoje,Mieszkanie na sprzedaż:,Mieszkanie pod inwestycje 2w1 | Balkon | Winda,60474074,https://www.otodom.pl/oferta/mieszkanie-pod-inwestycje-2w1-balkon-winda-ID45K4i.html#2bd0e70758,52.40937570000001,16.903609799999998,"[""ready_to_use""]","[""full_ownership""]"
50 m²,listing_no_promo,42x5m,,,Oferta prywatna,439000.0,8780.0,2 pokoje,Mieszkanie na sprzedaż:,BEZPOŚR. Piękne mieszkanie po remoncie OD ZARAZ,59709184,https://www.otodom.pl/oferta/bezposr-piekne-mieszkanie-po-remoncie-od-zaraz-ID42x5m.html#2bd0e70758,52.4339289,16.9162927,"[""ready_to_use""]","[""full_ownership""]"
52 m²,listing_no_promo,46DkO,,,Obsługa zdalna Best Life Jacek Hauke,319000.0,6135.0,2 pokoje,Mieszkanie na sprzedaż:,2 Pokoje 52 m Winiary - Winogrady obszerna Loggia,60686518,https://www.otodom.pl/oferta/2-pokoje-52-m-winiary-winogrady-obszerna-loggia-ID46DkO.html#2bd0e70758,52.4321162,16.9143275,"[""ready_to_use""]","[""full_ownership""]"
"56,70 m²",listing_no_promo,46alB,,,Oferta prywatna,345000.0,6085.0,2 pokoje,Mieszkanie na sprzedaż:,Sprzedaż mieszkania,60575091,https://www.otodom.pl/oferta/sprzedaz-mieszkania-ID46alB.html#2bd0e70758,52.4533754,16.8512665,"[""ready_to_use""]","[""full_ownership""]"
"63,30 m²",listing_no_promo,46CwQ,,,Oferta prywatna,439000.0,6935.0,3 pokoje,Mieszkanie na sprzedaż:,3 pokoje // Jeżyce-Polna // 63 m² // bezpośrednio,60683358,https://www.otodom.pl/oferta/3-pokoje-jezyce-polna-63-m-bezposrednio-ID46CwQ.html#2bd0e70758,52.413053710250104,16.89691835186769,"[""ready_to_use""]","[""full_ownership""]"
"42,20 m²",listing_no_promo,46CGQ,,,Obsługa zdalna Manufaktura Mieszkań,349000.0,8270.0,2 pokoje,Mieszkanie na sprzedaż:,NOWOŚĆ! | 2 pokoje + kuchnia WINIARY | BEZ PCC,60684040,https://www.otodom.pl/oferta/nowosc-2-pokoje-kuchnia-winiary-bez-pcc-ID46CGQ.html#2bd0e70758,52.43290115881119,16.914306042327894,"[""ready_to_use""]","[""full_ownership""]"
63 m²,listing_no_promo,46czI,,,Oferta prywatna,510000.0,8095.0,2 pokoje,Mieszkanie na sprzedaż:,Dwupoziomowe w kamienicy - JEŻYCE 63m2,60583654,https://www.otodom.pl/oferta/dwupoziomowe-w-kamienicy-jezyce-63m2-ID46czI.html#2bd0e70758,52.41408150647659,16.910388629455564,"[""ready_to_use""]","[""full_ownership""]"
"105,90 m²",listing_no_promo,46Df1,,,Obsługa zdalna Marek Kozłowski Investments,1006050.0,9500.0,4 pokoje,Mieszkanie na sprzedaż:,Zamieszkaj W Kameralnym Apartametowcu na SOŁACZU!,60686159,https://www.otodom.pl/oferta/zamieszkaj-w-kameralnym-apartametowcu-na-solaczu-ID46Df1.html#2bd0e70758,52.421763761221406,16.91682189163206,"[""to_completion""]","[""full_ownership""]"
