area,featured_name,item_id,latitude,longitude,others,price,price_per_m,rooms,subtitle,title,tracking_id,url,Lat,Lon
"25,91 m²",listing_no_promo,464Gr,,,Ślemp Nieruchomości Radosław Ślemp,259100,10000,1 pokój,Mieszkanie na sprzedaż:,Apartament W Prestiżowej Kamienicy Z Windą,60553319,https://www.otodom.pl/oferta/apartament-w-prestizowej-kamienicy-z-winda-ID464Gr.html#6a25d29cc2,52.3999742,16.8989233
"82,29 m²",listing_no_promo,46dOc,,,Spechouse Sp. z o.o.,679000,8251,3 pokoje,Mieszkanie na sprzedaż:,Gotowiec inwestycyjny 3 kawalerki Głogowska Poznań,60588396,https://www.otodom.pl/oferta/gotowiec-inwestycyjny-3-kawalerki-glogowska-poznan-ID46dOc.html#6a25d29cc2,52.3987991,16.9041812
"36,37 m²",listing_no_promo,46bzq,,,PTAK nieruchomości,436440,12000,1 pokój,Mieszkanie na sprzedaż:,Dla Konesera! piękne/w kamienicy/Centrum,60579792,https://www.otodom.pl/oferta/dla-konesera-piekne-w-kamienicy-centrum-ID46bzq.html#6a25d29cc2,52.3844,16.84039
"64,53 m²",listing_no_promo,46bzl,,,PTAK nieruchomości,774360,12000,2 pokoje,Mieszkanie na sprzedaż:,"Piękne kamienica z windą, balkony k/Areny!",60579787,https://www.otodom.pl/oferta/piekne-kamienica-z-winda-balkony-k-areny-ID46bzl.html#6a25d29cc2,52.3844,16.84039
81 m²,listing_no_promo,46bzi,,,PTAK nieruchomości,972000,12000,2 pokoje,Mieszkanie na sprzedaż:,Kamienica komfort poddasze/balkon winda!,60579784,https://www.otodom.pl/oferta/kamienica-komfort-poddasze-balkon-winda-ID46bzi.html#6a25d29cc2,52.3844,16.84039
81 m²,listing_no_promo,46bcA,,,"""HanRad Nieruchomości"" Hanna Radziwiłko",599000,7395,3 pokoje,Mieszkanie na sprzedaż:,"Niegolewskich, 81 m2, po remoncie, obok Areny",60578376,https://www.otodom.pl/oferta/niegolewskich-81-m2-po-remoncie-obok-areny-ID46bcA.html#6a25d29cc2,52.3958981,16.8979631
"38,32 m²",listing_no_promo,468tj,,,Spechouse Sp. z o.o.,289000,7542,2 pokoje,Mieszkanie na sprzedaż:,2 Pokoje Na Łazarzu,60567881,https://www.otodom.pl/oferta/2-pokoje-na-lazarzu-ID468tj.html#6a25d29cc2,52.3987991,16.9041812
"50,27 m²",listing_no_promo,467YS,,,Platan Nieruchomości Sp. z o.o.,275629,5483,1 pokój,Mieszkanie na sprzedaż:,Rewitalizowana kamienica | Inwestycja | ul.Mottego,60565994,https://www.otodom.pl/oferta/rewitalizowana-kamienica-inwestycja-ul-mottego-ID467YS.html#6a25d29cc2,52.3941459,16.9055246
"48,26 m²",listing_no_promo,467YT,,,Platan Nieruchomości Sp. z o.o.,275629,5711,1 pokój,Mieszkanie na sprzedaż:,Rewitalizowana kamienica | Inwestycja | ul.Mottego,60565995,https://www.otodom.pl/oferta/rewitalizowana-kamienica-inwestycja-ul-mottego-ID467YT.html#6a25d29cc2,52.3941459,16.9055246
"57,26 m²",listing_no_promo,467YU,,,Platan Nieruchomości Sp. z o.o.,318049,5554,2 pokoje,Mieszkanie na sprzedaż:,Rewitalizowana kamienica | Inwestycja | ul.Mottego,60565996,https://www.otodom.pl/oferta/rewitalizowana-kamienica-inwestycja-ul-mottego-ID467YU.html#6a25d29cc2,52.3941459,16.9055246
