area,featured_name,item_id,latitude,longitude,others,price,price_per_m,rooms,subtitle,title,tracking_id,url
37 m²,promo_top_ads,46oge,,,Oferta prywatna,305000,8243,1 pokój,Mieszkanie na sprzedaż:,Mieszkanie (37m2) z garażem na łazarzu,60628574,https://www.otodom.pl/oferta/mieszkanie-37m2-z-garazem-na-lazarzu-ID46oge.html#a052cfe78f
50 m²,promo_top_ads,46qxz,,,Obsługa zdalna Oferta prywatna,398000,7960,4 pokoje,Mieszkanie na sprzedaż:,Mieszkanie dwupokojowe i kawalerka Kamienica P-ń,60637337,https://www.otodom.pl/oferta/mieszkanie-dwupokojowe-i-kawalerka-kamienica-p-n-ID46qxz.html#a052cfe78f
"133,61 m²",promo_top_ads,45cA2,,,KAROLCZAK NIERUCHOMOŚCI,530884,3973,6 pokoi,Mieszkanie na sprzedaż:,Duże mieszkanie staromieszczańskie z potencjałem,60345346,https://www.otodom.pl/oferta/duze-mieszkanie-staromieszczanskie-z-potencjalem-ID45cA2.html#a052cfe78f
57 m²,listing_no_promo,44GEs,,,Nieruchomości Vendo,220000,3860,1 pokój,Mieszkanie na sprzedaż:,"Mieszkanie, 57 m², Poznań",60222612,https://www.otodom.pl/oferta/mieszkanie-57-m-poznan-ID44GEs.html#a052cfe78f
"108,49 m²",listing_no_promo,44iZv,,,Ślemp Nieruchomości Radosław Ślemp,857071,7900,3 pokoje,Mieszkanie na sprzedaż:,Apartament Kamienica Grunwald Winda.,60131662,https://www.otodom.pl/oferta/apartament-kamienica-grunwald-winda-ID44iZv.html#a052cfe78f
91 m²,listing_no_promo,44wSm,,,Nieruchomości REJ Ewa Ruszkiewicz,389000,4275,3 pokoje,Mieszkanie na sprzedaż:,Mieszkanie 3-pokojowe na Łazarzu,60181190,https://www.otodom.pl/oferta/mieszkanie-3-pokojowe-na-lazarzu-ID44wSm.html#a052cfe78f
"123,70 m²",listing_no_promo,3Pcg0,,,Browwar Nieruchomości,749000,6055,5 pokoi,Mieszkanie na sprzedaż:,"Apartament na Łazarzu, 5 pokoi, balkon",56530856,https://www.otodom.pl/oferta/apartament-na-lazarzu-5-pokoi-balkon-ID3Pcg0.html#a052cfe78f
"39,39 m²",listing_no_promo,44uZh,,,VanDer Haus Nieruchomości Sp. z o.o.,145743,3700,2 pokoje,Mieszkanie na sprzedaż:,Udziały w kamienicy na sprzedaż!,60177775,https://www.otodom.pl/oferta/udzialy-w-kamienicy-na-sprzedaz-ID44uZh.html#a052cfe78f
"106,57 m²",listing_no_promo,44i1o,,,Ślemp Nieruchomości Radosław Ślemp,895188,8400,4 pokoje,Mieszkanie na sprzedaż:,Apartament Zrewitalizowana Kamienica Winda.,60127934,https://www.otodom.pl/oferta/apartament-zrewitalizowana-kamienica-winda-ID44i1o.html#a052cfe78f
"125,29 m²",listing_no_promo,44j5d,,,Ślemp Nieruchomości Radosław Ślemp,989791,7900,4 pokoje,Mieszkanie na sprzedaż:,Apartament Kamienica Winda Balkon.,60132015,https://www.otodom.pl/oferta/apartament-kamienica-winda-balkon-ID44j5d.html#a052cfe78f
"64,67 m²",listing_no_promo,44pZi,,,Expander Advisors,504426,7800,3 pokoje,Mieszkanie na sprzedaż:,3 pokoje z ogródkiem w Centrum! Ostatnie gotowe!,60158556,https://www.otodom.pl/oferta/3-pokoje-z-ogrodkiem-w-centrum-ostatnie-gotowe-ID44pZi.html#a052cfe78f
"64,67 m²",listing_no_promo,44pZh,,,Expander Advisors,504426,7800,3 pokoje,Mieszkanie na sprzedaż:,3 pokoje w Centrum z ogródkiem!,60158555,https://www.otodom.pl/oferta/3-pokoje-w-centrum-z-ogrodkiem-ID44pZh.html#a052cfe78f
"57,12 m²",listing_no_promo,44p22,,,Expander Advisors,428400,7500,2 pokoje,Mieszkanie na sprzedaż:,Mieszkania przejęte z umów rezerwacyjnych! Marzec!,60154882,https://www.otodom.pl/oferta/mieszkania-przejete-z-umow-rezerwacyjnych-marzec-ID44p22.html#a052cfe78f
84 m²,listing_no_promo,44p07,,,Home Emperor sp. z o.o.,560000,6667,3 pokoje,Mieszkanie na sprzedaż:,Zamieszkaj w Centrum i nie płać za parking.,60154763,https://www.otodom.pl/oferta/zamieszkaj-w-centrum-i-nie-plac-za-parking-ID44p07.html#a052cfe78f
55 m²,listing_no_promo,44lpW,,,Aspect Nieruchomości - Ogólnopolska Sieć Biur,549000,9982,2 pokoje,Mieszkanie na sprzedaż:,"Mieszkanie, 55 m², Poznań",60140987,https://www.otodom.pl/oferta/mieszkanie-55-m-poznan-ID44lpW.html#a052cfe78f
"42,30 m²",listing_no_promo,42spy,,,Immo House,399000,9433,2 pokoje,Mieszkanie na sprzedaż:,2 pokoje po generalnym remoncie,59691216,https://www.otodom.pl/oferta/2-pokoje-po-generalnym-remoncie-ID42spy.html#a052cfe78f
126 m²,listing_no_promo,447yZ,,,Corner Nieruchomości,650000,5159,3 pokoje,Mieszkanie na sprzedaż:,Poznań - Grunwald,60087733,https://www.otodom.pl/oferta/poznan-grunwald-ID447yZ.html#a052cfe78f
"121,70 m²",listing_no_promo,43Z2C,,,4 POKOJE,590000,4848,4 pokoje,Mieszkanie na sprzedaż:,"Mieszkanie, 121,70 m², Poznań",60054974,https://www.otodom.pl/oferta/mieszkanie-121-70-m-poznan-ID43Z2C.html#a052cfe78f
"66,40 m²",listing_no_promo,43R6X,,,POZnań Nieruchomości,240000,3614,3 pokoje,Mieszkanie na sprzedaż:,"3 pokojowe mieszkanie blisko centrum 66m2 Roi 6,8%",60024491,https://www.otodom.pl/oferta/3-pokojowe-mieszkanie-blisko-centrum-66m2-roi-6-8-ID43R6X.html#a052cfe78f
"51,49 m²",listing_no_promo,43wIA,,,DOMLEX,442814,8600,2 pokoje,Mieszkanie na sprzedaż:,Apartament 2 pokoje,59942256,https://www.otodom.pl/oferta/apartament-2-pokoje-ID43wIA.html#a052cfe78f
"126,74 m²",listing_no_promo,43tbL,,,Van Hausen Kołodziejczyk Wierzejewski Sp. J.,95801750,7559,4 pokoje,Mieszkanie na sprzedaż:,"Mieszkanie, 126,74 m², Poznań",59932533,https://www.otodom.pl/oferta/mieszkanie-126-74-m-poznan-ID43tbL.html#a052cfe78f
"51,49 m²",listing_no_promo,43tbH,,,Van Hausen Kołodziejczyk Wierzejewski Sp. J.,442814,8600,2 pokoje,Mieszkanie na sprzedaż:,"Mieszkanie, 51,49 m², Poznań",59932529,https://www.otodom.pl/oferta/mieszkanie-51-49-m-poznan-ID43tbH.html#a052cfe78f
"67,77 m²",listing_no_promo,43sso,,,Van Hausen Kołodziejczyk Wierzejewski Sp. J.,582822,8600,3 pokoje,Mieszkanie na sprzedaż:,"Mieszkanie, 67,77 m², Poznań",59929720,https://www.otodom.pl/oferta/mieszkanie-67-77-m-poznan-ID43sso.html#a052cfe78f
"49,98 m²",listing_no_promo,43l1n,,,Corner Nieruchomości,449820,9000,2 pokoje,Mieszkanie na sprzedaż:,Klimatyczne mieszkanie w pięknej kamienicy,59901137,https://www.otodom.pl/oferta/klimatyczne-mieszkanie-w-pieknej-kamienicy-ID43l1n.html#a052cfe78f
142 m²,listing_no_promo,43in1,,,Zandia Home Real Estate,1550000,10915,4 pokoje,Mieszkanie na sprzedaż:,Apartamenty na najem krótkoterminowy,59890947,https://www.otodom.pl/oferta/apartamenty-na-najem-krotkoterminowy-ID43in1.html#a052cfe78f
"59,20 m²",listing_no_promo,43fzr,,,Corner Nieruchomości,413808,6990,2 pokoje,Mieszkanie na sprzedaż:,Klimatyczne mieszkanie w pięknej kamienicy,59880185,https://www.otodom.pl/oferta/klimatyczne-mieszkanie-w-pieknej-kamienicy-ID43fzr.html#a052cfe78f
308 m²,listing_no_promo,43fsl,,,Spechouse Sp. z o.o.,4190000,13604,4 pokoje,Mieszkanie na sprzedaż:,City Park - luksusowy apartament 308 m2,59879745,https://www.otodom.pl/oferta/city-park-luksusowy-apartament-308-m2-ID43fsl.html#a052cfe78f
"72,51 m²",listing_no_promo,42X9F,,,CELKA Property Sp. z o. o.,548097,7559,3 pokoje,Mieszkanie na sprzedaż:,Polecam do sprzedaży mieszkanie Łazarz,59809395,https://www.otodom.pl/oferta/polecam-do-sprzedazy-mieszkanie-lazarz-ID42X9F.html#a052cfe78f
"126,74 m²",listing_no_promo,42X9D,,,CELKA Property Sp. z o. o.,958028,7559,3 pokoje,Mieszkanie na sprzedaż:,Polecam do sprzedaży mieszkanie Łazarz,59809393,https://www.otodom.pl/oferta/polecam-do-sprzedazy-mieszkanie-lazarz-ID42X9D.html#a052cfe78f
"126,74 m²",listing_no_promo,42Apa,,,SATOR HOUSE,95801752,7559,4 pokoje,Mieszkanie na sprzedaż:,Duży apartament w odrestaurowanej kamienicy,59721944,https://www.otodom.pl/oferta/duzy-apartament-w-odrestaurowanej-kamienicy-ID42Apa.html#a052cfe78f
"67,77 m²",listing_no_promo,42cgF,,,VanDer Haus Nieruchomości Sp. z o.o.,582822,8600,3 pokoje,Mieszkanie na sprzedaż:,Połączenie historii i współczesności,59629161,https://www.otodom.pl/oferta/polaczenie-historii-i-wspolczesnosci-ID42cgF.html#a052cfe78f
"66,44 m²",listing_no_promo,41KuV,,,Paweł Degórski Nieruchomości,385000,5795,3 pokoje,Mieszkanie na sprzedaż:,"Mieszkanie, 66,44 m², Poznań",59522414,https://www.otodom.pl/oferta/mieszkanie-66-44-m-poznan-ID41KuV.html#a052cfe78f
100 m²,listing_no_promo,3UFwa,,,Immo House,520000,5200,4 pokoje,Mieszkanie na sprzedaż:,Stylowe mieszkanie pod najem krótkoterminowy!,57834912,https://www.otodom.pl/oferta/stylowe-mieszkanie-pod-najem-krotkoterminowy-ID3UFwa.html#a052cfe78f
180 m²,listing_no_promo,41B0U,,,GRACJAN-NIERUCHOMOŚCI,1200000,6667,6 pokoi,Mieszkanie na sprzedaż:,"Mieszkanie, 180 m², Poznań",59485956,https://www.otodom.pl/oferta/mieszkanie-180-m-poznan-ID41B0U.html#a052cfe78f
"125,29 m²",listing_no_promo,410E0,,,DOMLEX,94705709,7559,4 pokoje,Mieszkanie na sprzedaż:,"Mieszkanie, 125,29 m², Poznań",59346152,https://www.otodom.pl/oferta/mieszkanie-125-29-m-poznan-ID410E0.html#a052cfe78f
"138,99 m²",listing_no_promo,410DT,,,DOMLEX,1125819,8100,4 pokoje,Mieszkanie na sprzedaż:,"Mieszkanie, 138,99 m², Poznań",59346145,https://www.otodom.pl/oferta/mieszkanie-138-99-m-poznan-ID410DT.html#a052cfe78f
"67,77 m²",listing_no_promo,410DN,,,DOMLEX,582822,8600,3 pokoje,Mieszkanie na sprzedaż:,Dwupoziomowy apartament,59346139,https://www.otodom.pl/oferta/dwupoziomowy-apartament-ID410DN.html#a052cfe78f
"72,55 m²",listing_no_promo,410DL,,,DOMLEX,54839965,7559,3 pokoje,Mieszkanie na sprzedaż:,Piękna kamienica,59346137,https://www.otodom.pl/oferta/piekna-kamienica-ID410DL.html#a052cfe78f
139 m²,listing_no_promo,3T2YE,,,DOMLEX,1120662,8062,4 pokoje,Mieszkanie na sprzedaż:,Komfortowy apartament,57448496,https://www.otodom.pl/oferta/komfortowy-apartament-ID3T2YE.html#a052cfe78f
"125,29 m²",listing_no_promo,3Sxx6,,,VanDer Haus Nieruchomości Sp. z o.o.,989791,7900,4 pokoje,Mieszkanie na sprzedaż:,Duży apartament w ekskluzywnej inwestycji,57327624,https://www.otodom.pl/oferta/duzy-apartament-w-ekskluzywnej-inwestycji-ID3Sxx6.html#a052cfe78f
"57,12 m²",listing_no_promo,3REy8,,,Martin Group Sp. z o.o.,485520,8500,2 pokoje,Mieszkanie na sprzedaż:,"2 pokojowe, nowe, ul. Łukaszewicza 37",57116268,https://www.otodom.pl/oferta/2-pokojowe-nowe-ul-lukaszewicza-37-ID3REy8.html#a052cfe78f
"59,40 m²",listing_no_promo,3QMAQ,,,Perfect House,534600,9000,2 pokoje,Mieszkanie na sprzedaż:,mieszkania w zrewitalizowanej kamienicy w centrum,56908860,https://www.otodom.pl/oferta/mieszkania-w-zrewitalizowanej-kamienicy-w-centrum-ID3QMAQ.html#a052cfe78f
"29,68 m²",listing_no_promo,3PjS8,,,Peritus Norbert Czyżewski,270000,9097,1 pokój,Mieszkanie na sprzedaż:,"Lokal mieszkalny, Poznań, Łazarz, ul. Łukaszewicza",56560128,https://www.otodom.pl/oferta/lokal-mieszkalny-poznan-lazarz-ul-lukaszewicza-ID3PjS8.html#a052cfe78f
"91,60 m²",listing_no_promo,3P2L2,,,KOCZOROWSKI Nieruchomości,450000,4913,3 pokoje,Mieszkanie na sprzedaż:,Przestronne mieszkanie ul. Hetmańska. OKAZJA!,56494340,https://www.otodom.pl/oferta/przestronne-mieszkanie-ul-hetmanska-okazja-ID3P2L2.html#a052cfe78f
"155,40 m²",listing_no_promo,3t2e0,,,La Villa-Nieruchomości Izabela Mańczak,1141258,7344,2 pokoje,Mieszkanie na sprzedaż:,"Mieszkanie, 155,40 m², Poznań",51249076,https://www.otodom.pl/oferta/mieszkanie-155-40-m-poznan-ID3t2e0.html#a052cfe78f
"142,30 m²",listing_no_promo,3sJPC,,,La Villa-Nieruchomości Izabela Mańczak,1106525,7776,4 pokoje,Mieszkanie na sprzedaż:,"Mieszkanie, 142,30 m², Poznań",51178372,https://www.otodom.pl/oferta/mieszkanie-142-30-m-poznan-ID3sJPC.html#a052cfe78f
