area,featured_name,item_id,latitude,longitude,others,price,price_per_m,rooms,subtitle,title,tracking_id,url
"26,20 m²",promo_top_ads,45dP4,,,Oferta prywatna,248900,9500,1 pokój,Mieszkanie na sprzedaż:,Kawalerka w pięknej kamienicy obok Parku Willsona,60350122,https://www.otodom.pl/oferta/kawalerka-w-pieknej-kamienicy-obok-parku-willsona-ID45dP4.html#068930ee7f
"29,09 m²",promo_top_ads,46tth,,,Inwestycje z widokiem,149900,5153,1 pokój,Mieszkanie na sprzedaż:,Mieszkanie przy Parku Wilsona - Dla Inwestora,60648603,https://www.otodom.pl/oferta/mieszkanie-przy-parku-wilsona-dla-inwestora-ID46tth.html#068930ee7f
81 m²,promo_top_ads,46bcA,,,"""HanRad Nieruchomości"" Hanna Radziwiłko",599000,7395,3 pokoje,Mieszkanie na sprzedaż:,"Niegolewskich, 81 m2, po remoncie, obok Areny",60578376,https://www.otodom.pl/oferta/niegolewskich-81-m2-po-remoncie-obok-areny-ID46bcA.html#068930ee7f
55 m²,listing_no_promo,46Eid,,,Imperial House,399000,7255,3 pokoje,Mieszkanie na sprzedaż:,"Apartament w kamienicy, w stanie do zamieszkania.",60690201,https://www.otodom.pl/oferta/apartament-w-kamienicy-w-stanie-do-zamieszkania-ID46Eid.html#068930ee7f
"28,50 m²",listing_no_promo,45dGn,,,Ślemp Nieruchomości Radosław Ślemp,259350,9100,1 pokój,Mieszkanie na sprzedaż:,Kawalerka.Cieplik Miejski.Winda !!!,60349583,https://www.otodom.pl/oferta/kawalerka-cieplik-miejski-winda-ID45dGn.html#068930ee7f
62 m²,listing_no_promo,46q3H,,,Obsługa zdalna Oferta prywatna,499000,8048,3 pokoje,Mieszkanie na sprzedaż:,Sprzedam bezpośrednio mieszkanie 3-pok po remoncie,60635485,https://www.otodom.pl/oferta/sprzedam-bezposrednio-mieszkanie-3-pok-po-remoncie-ID46q3H.html#068930ee7f
56 m²,listing_no_promo,46q3a,,,Obsługa zdalna Oferta prywatna,470000,8393,2 pokoje,Mieszkanie na sprzedaż:,Sprzedam bezpośrednio mieszkanie 2-pok po remoncie,60635452,https://www.otodom.pl/oferta/sprzedam-bezposrednio-mieszkanie-2-pok-po-remoncie-ID46q3a.html#068930ee7f
60 m²,listing_no_promo,46DFL,,,AZielińska Nieruchomości,420000,7000,2 pokoje,Mieszkanie na sprzedaż:,"Mieszkanie, 60 m², Poznań",60687817,https://www.otodom.pl/oferta/mieszkanie-60-m-poznan-ID46DFL.html#068930ee7f
"39,50 m²",listing_no_promo,46DoM,,,Spechouse Sp. z o.o.,459000,11620,2 pokoje,Mieszkanie na sprzedaż:,"Poznań piękne mieszkanie przy City Park, p.Wilsona",60686764,https://www.otodom.pl/oferta/poznan-piekne-mieszkanie-przy-city-park-p-wilsona-ID46DoM.html#068930ee7f
41 m²,listing_no_promo,42cIe,,,Oferta prywatna,399000,9732,1 pokój,Mieszkanie na sprzedaż:,Studio dla Konesera > estetyka + jakość + komfort,59630870,https://www.otodom.pl/oferta/studio-dla-konesera-estetyka-jakosc-komfort-ID42cIe.html#068930ee7f
