area,featured_name,item_id,latitude,longitude,others,price,price_per_m,rooms,subtitle,title,tracking_id,url
"45,39 m²",promo_top_ads,46vtg,,,Oferta prywatna,329000,7248,2 pokoje,Mieszkanie na sprzedaż:,"Mieszkanie na sprzedaż, Poznań, Dębiec",60660134,https://www.otodom.pl/oferta/mieszkanie-na-sprzedaz-poznan-debiec-ID46vtg.html#8e50b463b7
41 m²,promo_top_ads,45k5K,,,Oferta prywatna,329000,8024,2 pokoje,Mieszkanie na sprzedaż:,"Dwupokojowe. Dolna Wilda, okolice Starego Browaru",60374220,https://www.otodom.pl/oferta/dwupokojowe-dolna-wilda-okolice-starego-browaru-ID45k5K.html#8e50b463b7
"34,74 m²",promo_top_ads,46vsQ,,,Oferta prywatna,260000,7484,1 pokój,Mieszkanie na sprzedaż:,Bezczynszowa kawalerka na Dębcu - balkon i ogród!,60660108,https://www.otodom.pl/oferta/bezczynszowa-kawalerka-na-debcu-balkon-i-ogrod-ID46vsQ.html#8e50b463b7
"145,14 m²",listing_no_promo,449pO,,,Abri Nieruchomości,1146606,7900,4 pokoje,Mieszkanie na sprzedaż:,Luksusowy apartament lub trzy mieszkania,60094852,https://www.otodom.pl/oferta/luksusowy-apartament-lub-trzy-mieszkania-ID449pO.html#8e50b463b7
"81,81 m²",listing_no_promo,449mt,,,Abri Nieruchomości,703566,8600,4 pokoje,Mieszkanie na sprzedaż:,"Nowoczesne mieszkanie 4 pokoje, duży balkon, Wilda",60094645,https://www.otodom.pl/oferta/nowoczesne-mieszkanie-4-pokoje-duzy-balkon-wilda-ID449mt.html#8e50b463b7
"74,36 m²",listing_no_promo,449kU,,,Abri Nieruchomości,632060,8500,3 pokoje,Mieszkanie na sprzedaż:,"Nowe mieszkanie 3 pokoje, balkon",60094548,https://www.otodom.pl/oferta/nowe-mieszkanie-3-pokoje-balkon-ID449kU.html#8e50b463b7
"41,33 m²",listing_no_promo,449jE,,,Abri Nieruchomości,374037,9050,2 pokoje,Mieszkanie na sprzedaż:,"Nowe mieszkanie 2 pokoje, balkon, Wilda",60094470,https://www.otodom.pl/oferta/nowe-mieszkanie-2-pokoje-balkon-wilda-ID449jE.html#8e50b463b7
"42,31 m²",listing_no_promo,449iN,,,Abri Nieruchomości,376559,8900,2 pokoje,Mieszkanie na sprzedaż:,Nowe mieszkanie 2 pokoje Wilda,60094417,https://www.otodom.pl/oferta/nowe-mieszkanie-2-pokoje-wilda-ID449iN.html#8e50b463b7
"57,40 m²",listing_no_promo,447me,,,Paczesny Nieruchomości,570000,9930,2 pokoje,Mieszkanie na sprzedaż:,Apartament/ wysoki standard/nowe budownictwo/garaż,60086942,https://www.otodom.pl/oferta/apartament-wysoki-standard-nowe-budownictwo-garaz-ID447me.html#8e50b463b7
66 m²,listing_no_promo,43Rej,,,Perfect House,465000,7045,4 pokoje,Mieszkanie na sprzedaż:,Bezczynszowe mieszkania pod wynajem dla inwestora,60024947,https://www.otodom.pl/oferta/bezczynszowe-mieszkania-pod-wynajem-dla-inwestora-ID43Rej.html#8e50b463b7
55 m²,listing_no_promo,43BbZ,,,Imperial House,356000,6473,2 pokoje,Mieszkanie na sprzedaż:,Znakomita lokalizacja na Dębcu z Ogródkiem,59963299,https://www.otodom.pl/oferta/znakomita-lokalizacja-na-debcu-z-ogrodkiem-ID43BbZ.html#8e50b463b7
45 m²,listing_no_promo,43wlX,,,Immo Invest,299000,6644,2 pokoje,Mieszkanie na sprzedaż:,Poznań- Chłapowskiego 45m2,59940853,https://www.otodom.pl/oferta/poznan-chlapowskiego-45m2-ID43wlX.html#8e50b463b7
"27,27 m²",listing_no_promo,42rhG,,,Browwar Nieruchomości,289000,10598,1 pokój,Mieszkanie na sprzedaż:,Stylowa kawalerka w odnawianej kamienicy!,59686884,https://www.otodom.pl/oferta/stylowa-kawalerka-w-odnawianej-kamienicy-ID42rhG.html#8e50b463b7
