area,featured_name,item_id,latitude,longitude,others,price,price_per_m,rooms,subtitle,title,tracking_id,url,Lat,Lon
"29,35 m²",promo_top_ads,49hJ7,,,Obsługa zdalna Oferta prywatna,286775.0,9771.0,2 pokoje,Mieszkanie na sprzedaż:,Wykończone - 2 pokojowe! Brak podatku PCC 2%,61318441,https://www.otodom.pl/pl/oferta/wykonczone-2-pokojowe-brak-podatku-pcc-2-ID49hJ7.html#2bd0e70758,52.44259395077659,16.886913116918947
31 m²,promo_top_ads,49YpI,,,Oferta prywatna,299000.0,9645.0,2 pokoje,Mieszkanie na sprzedaż:,2 pokoje I Podolany I 31 m2 I pod klucz I balkon,61482530,https://www.otodom.pl/pl/oferta/2-pokoje-i-podolany-i-31-m2-i-pod-klucz-i-balkon-ID49YpI.html#2bd0e70758,52.4458899,16.8885439
"86,50 m²",promo_top_ads,49Y1F,,,Obsługa zdalna Oferta prywatna,689000.0,7965.0,5 pokoi,Mieszkanie na sprzedaż:,86m2- Jasielska -5pok- garaż - bez PCC! -pod klucz,61481039,https://www.otodom.pl/pl/oferta/86m2-jasielska-5pok-garaz-bez-pcc-pod-klucz-ID49Y1F.html#2bd0e70758,52.44575212618102,16.89102675421447
26 m²,listing_no_promo,4astR,,,Obsługa zdalna TU Inwestycje,275000.0,10577.0,1 pokój,Mieszkanie na sprzedaż:,PIĘKNA kawalerka po rem/ CO/ Winda/ JEŻYCE/ LUXUS!,61598107,https://www.otodom.pl/pl/oferta/piekna-kawalerka-po-rem-co-winda-jezyce-luxus-ID4astR.html#2bd0e70758,52.4139057,16.9099331
49 m²,listing_no_promo,4asty,,,Obsługa zdalna TU Inwestycje,485000.0,9898.0,3 pokoje,Mieszkanie na sprzedaż:,OKAZJA 3 pok+ Kuchn/BALKON/6 Okien/Po rem/CO/WINDA,61598088,https://www.otodom.pl/pl/oferta/okazja-3-pok-kuchn-balkon-6-okien-po-rem-co-winda-ID4asty.html#2bd0e70758,52.4139057,16.9099331
31 m²,listing_no_promo,4aiwT,,,Obsługa zdalna Oferta prywatna,308900.0,9965.0,2 pokoje,Mieszkanie na sprzedaż:,NOWE | do wprowadzenia | 2 pokoje - PODOLANY,61559793,https://www.otodom.pl/pl/oferta/nowe-do-wprowadzenia-2-pokoje-podolany-ID4aiwT.html#2bd0e70758,52.4458899,16.8885439
42 m²,listing_no_promo,4a5mi,,,Oferta prywatna,339000.0,8071.0,2 pokoje,Mieszkanie na sprzedaż:,Bez pośredników Ogrody - 2 pokoje kuchnia piwnica,61509226,https://www.otodom.pl/pl/oferta/bez-posrednikow-ogrody-2-pokoje-kuchnia-piwnica-ID4a5mi.html#2bd0e70758,52.41591059803749,16.889071518212884
"46,87 m²",listing_no_promo,4ais9,,,Oferta prywatna,436000.0,9302.0,2 pokoje,Mieszkanie na sprzedaż:,## Mieszkanie 2 pokojowe + duży ogródek,61559561,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-duzy-ogrodek-ID4ais9.html#2bd0e70758,52.43655,16.84479
"31,57 m²",listing_no_promo,4asim,,,INVENTUM NIERUCHOMOŚCI Kazaniecka & Bittner sp.j.,320000.0,10136.0,2 pokoje,Mieszkanie na sprzedaż:,"Mieszkanie, 31,57 m², Poznań",61597394,https://www.otodom.pl/pl/oferta/mieszkanie-31-57-m-poznan-ID4asim.html#2bd0e70758,52.45718,16.88339
"71,76 m²",listing_no_promo,49ZoA,,,Nieruchomości Konwerski,558548.0,7784.0,3 pokoje,Mieszkanie na sprzedaż:,Trzy Pokoje Z Osobną Kuchnią ! Termin Realizacji K,61486304,https://www.otodom.pl/pl/oferta/trzy-pokoje-z-osobna-kuchnia-termin-realizacji-k-ID49ZoA.html#2bd0e70758,52.43655,16.84479
"51,40 m²",listing_no_promo,2Qvdn,,,Oferta prywatna,475000.0,9241.0,2 pokoje,Mieszkanie na sprzedaż:,Poznań Nowe Ogrody ul. J. Meissnera 2a,42069565,https://www.otodom.pl/pl/oferta/poznan-nowe-ogrody-ul-j-meissnera-2a-ID2Qvdn.html#2bd0e70758,52.41823275,16.86534737
85 m²,listing_no_promo,4asaX,,,Ślemp Nieruchomości Radosław Ślemp,922358.0,10851.0,3 pokoje,Mieszkanie na sprzedaż:,Ostatnie apartamenty z dwoma balkonami - Premium,61596935,https://www.otodom.pl/pl/oferta/ostatnie-apartamenty-z-dwoma-balkonami-premium-ID4asaX.html#2bd0e70758,52.4080069,16.9168008
"31,38 m²",listing_no_promo,4as67,,,Obsługa zdalna Poznański Pośrednik,381000.0,12141.0,2 pokoje,Mieszkanie na sprzedaż:,"2 kawalerki z 2021 r. - 2700 zł/mc ROI 8,5%",61596635,https://www.otodom.pl/pl/oferta/2-kawalerki-z-2021-r-2700-zl-mc-roi-8-5-ID4as67.html#2bd0e70758,52.4458899,16.8885439
47 m²,listing_no_promo,4a9SB,,,Oferta prywatna,370000.0,7872.0,2 pokoje,Mieszkanie na sprzedaż:,Mieszkanie 2 pokoje - Antresola,61526605,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokoje-antresola-ID4a9SB.html#2bd0e70758,52.44639228554559,16.872776085211196
81 m²,listing_no_promo,4arN8,,,RBW Sp. z o.o.,588900.0,7270.0,3 pokoje,Mieszkanie na sprzedaż:,"Dwupoziomowe, dwa balkony. Słoneczne.",61595458,https://www.otodom.pl/pl/oferta/dwupoziomowe-dwa-balkony-sloneczne-ID4arN8.html#2bd0e70758,52.45239136589782,16.900372469311517
